# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.425230423754e-02       1.790686736188e+05       1.790686454037e+05       1.653634891403e+05       5.571886690199e+03       4.561816560834e+03       0.000000000000e+00       1.718416515681e+05 
       1.466847903502e-02       1.769849282318e+05       1.769849014358e+05       1.626284659545e+05       4.502477716531e+03       4.169115099957e+03       0.000000000000e+00       1.696914065150e+05 
       1.509680635600e-02       1.748615883317e+05       1.748615628835e+05       1.598316634137e+05       3.615377734954e+03       3.948084349231e+03       0.000000000000e+00       1.675043055072e+05 
       1.553764106060e-02       1.726987313423e+05       1.726987071743e+05       1.569734342270e+05       2.959555644992e+03       3.865827328723e+03       0.000000000000e+00       1.652809187862e+05 
       1.599134837106e-02       1.704965180725e+05       1.704964951204e+05       1.540543719621e+05       2.558314793773e+03       3.872097341232e+03       0.000000000000e+00       1.630212812663e+05 
       1.645830417440e-02       1.682551977894e+05       1.682551759921e+05       1.510753329142e+05       2.404898229106e+03       3.906677024009e+03       0.000000000000e+00       1.607249117988e+05 
       1.693889533392e-02       1.659751113026e+05       1.659750906022e+05       1.480374613791e+05       2.461863636219e+03       3.909301425309e+03       0.000000000000e+00       1.583909253586e+05 
       1.743352000998e-02       1.636566914977e+05       1.636566718389e+05       1.449422083701e+05       2.664991787739e+03       3.830604905033e+03       0.000000000000e+00       1.560182312595e+05 
       1.794258799043e-02       1.613004645954e+05       1.613004459258e+05       1.417913584449e+05       2.931867645539e+03       3.641993466058e+03       0.000000000000e+00       1.536058001748e+05 
       1.846652103129e-02       1.589070514549e+05       1.589070337247e+05       1.385870496485e+05       3.174426571745e+03       3.342101192074e+03       0.000000000000e+00       1.511529575892e+05 
       1.900575320855e-02       1.564771734705e+05       1.564771566325e+05       1.353318080473e+05       3.313804117980e+03       2.957776699752e+03       0.000000000000e+00       1.486596585548e+05 
       1.956073128256e-02       1.540116608812e+05       1.540116448904e+05       1.320285752832e+05       3.294952702823e+03       2.538470094611e+03       0.000000000000e+00       1.461266822533e+05 
       2.013191507720e-02       1.515114677420e+05       1.515114525556e+05       1.286807518431e+05       3.097947147126e+03       2.144414343451e+03       0.000000000000e+00       1.435557057560e+05 
       2.071977787765e-02       1.489776907536e+05       1.489776763310e+05       1.252922389759e+05       2.742955815980e+03       1.830848781101e+03       0.000000000000e+00       1.409492268542e+05 
       2.132480685269e-02       1.464115919071e+05       1.464115782097e+05       1.218674853907e+05       2.286710155347e+03       1.632227069893e+03       0.000000000000e+00       1.383103460375e+05 
       2.194750351098e-02       1.438146222500e+05       1.438146092413e+05       1.184115303181e+05       1.810009122194e+03       1.551236755773e+03       0.000000000000e+00       1.356424524118e+05 
       2.258838420597e-02       1.411884461858e+05       1.411884338308e+05       1.149300517480e+05       1.398128675130e+03       1.556917473120e+03       0.000000000000e+00       1.329488960765e+05 
       2.324798071086e-02       1.385349613639e+05       1.385349496296e+05       1.114294004380e+05       1.118456521928e+03       1.593896520022e+03       0.000000000000e+00       1.302327366194e+05 
       2.392684089489e-02       1.358563148417e+05       1.358563036965e+05       1.079166298633e+05       1.001451590279e+03       1.601063918781e+03       0.000000000000e+00       1.274966538918e+05 
       2.462552954438e-02       1.331549137395e+05       1.331549031537e+05       1.043995143374e+05       1.031271653193e+03       1.533947054279e+03       0.000000000000e+00       1.247430593896e+05 
       2.534462938703e-02       1.304334320863e+05       1.304334220314e+05       1.008865611357e+05       1.150487333283e+03       1.382299542542e+03       0.000000000000e+00       1.219743871264e+05 
       2.608474239522e-02       1.276948127556e+05       1.276948032046e+05       9.738700106193e+04       1.279195664052e+03       1.174734921163e+03       0.000000000000e+00       1.191934713664e+05 
       2.684649146291e-02       1.249422691989e+05       1.249422601261e+05       9.391077907388e+04       1.343484958632e+03       9.665165585871e+02       0.000000000000e+00       1.164038880269e+05 
       2.763052256886e-02       1.221792859718e+05       1.221792773529e+05       9.046852931909e+04       1.303454361706e+03       8.140022431729e+02       0.000000000000e+00       1.136101310630e+05 
