# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       3.283863408632e-05       1.616159575569e-07       1.616333807232e-07       1.616333965286e-07       1.616333964289e-07       1.616147925499e-07       1.616327082220e-07 
       3.379753951399e-05       1.711911837324e-07       1.712107300595e-07       1.712107477739e-07       1.712107476621e-07       1.711898767070e-07       1.712099755938e-07 
       3.478444548567e-05       1.813336407319e-07       1.813555692552e-07       1.813555891119e-07       1.813555889864e-07       1.813321743591e-07       1.813547228252e-07 
       3.580016963202e-05       1.920769229005e-07       1.921015238556e-07       1.921015461146e-07       1.921015459738e-07       1.920752777476e-07       1.921005742557e-07 
       3.684555345892e-05       2.034566096805e-07       2.034842109974e-07       2.034842359611e-07       2.034842358031e-07       2.034547638740e-07       2.034831455750e-07 
       3.792146304469e-05       2.155103939392e-07       2.155413599177e-07       2.155413879084e-07       2.155413877311e-07       2.155083230442e-07       2.155401646037e-07 
       3.902878975758e-05       2.282781925606e-07       2.283129338160e-07       2.283129652022e-07       2.283129650033e-07       2.282758691225e-07       2.283115927582e-07 
       4.016845099426e-05       2.418022865634e-07       2.418412641872e-07       2.418412993832e-07       2.418412991600e-07       2.417996797722e-07       2.418397595855e-07 
       4.134139093988e-05       2.561274612052e-07       2.561711912376e-07       2.561712307061e-07       2.561712304557e-07       2.561245365034e-07       2.561695031687e-07 
       4.254858135027e-05       2.713011479125e-07       2.713502111265e-07       2.713502553932e-07       2.713502551123e-07       2.712978664905e-07       2.713483171731e-07 
       4.379102235708e-05       2.873735904019e-07       2.874286355709e-07       2.874286852117e-07       2.874286848965e-07       2.873699087984e-07       2.874265106801e-07 
       4.506974329629e-05       3.043980004040e-07       3.044597562926e-07       3.044598119489e-07       3.044598115952e-07       3.043938698528e-07       3.044573723190e-07 
       4.638580356106e-05       3.224307350555e-07       3.225000219580e-07       3.225000843873e-07       3.225000839904e-07       3.224261006939e-07       3.224973472503e-07 
       4.774029347938e-05       3.415314581710e-07       3.416092203422e-07       3.416092903036e-07       3.416092898583e-07       3.415262579976e-07       3.416062183937e-07 
       4.913433521739e-05       3.617634567311e-07       3.618507012046e-07       3.618507799391e-07       3.618507794395e-07       3.617576215522e-07       3.618473333796e-07 
       5.056908370909e-05       3.831936642523e-07       3.832915487256e-07       3.832916370389e-07       3.832916364784e-07       3.831871173567e-07       3.832877701536e-07 
       5.204572761313e-05       4.058930038383e-07       4.060028271893e-07       4.060029262413e-07       4.060029256124e-07       4.058856584297e-07       4.059985877221e-07 
       5.356549029765e-05       4.299365924911e-07       4.300598120686e-07       4.300599231814e-07       4.300599224758e-07       4.299283510968e-07       4.300550554550e-07 
       5.512963085377e-05       4.554039871140e-07       4.555422386264e-07       4.555423632765e-07       4.555423624848e-07       4.553947403982e-07       4.555369017257e-07 
       5.673944513873e-05       4.823795057384e-07       4.825345799301e-07       4.825347194536e-07       4.825347185653e-07       4.823691331902e-07       4.825285933788e-07 
       5.839626684951e-05       5.109522857193e-07       5.111262764226e-07       5.111264329628e-07       5.111264319661e-07       5.109406478505e-07       5.111195596071e-07 
       6.010146862770e-05       5.412168908852e-07       5.414121044306e-07       5.414122800349e-07       5.414122789165e-07       5.412038334553e-07       5.414045682945e-07 
       6.185646319679e-05       5.732734159323e-07       5.734924425415e-07       5.734926395397e-07       5.734926382848e-07       5.732587657625e-07       5.734839870913e-07 
       6.366270453251e-05       6.072278059870e-07       6.074736027756e-07       6.074738241453e-07       6.074738227373e-07       6.072113662413e-07       6.074641141239e-07 
       6.552168906749e-05       6.431924644413e-07       6.434682414470e-07       6.434684897664e-07       6.434684881867e-07       6.431740195741e-07       6.434575954096e-07 
       6.743495693093e-05       6.812862271209e-07       6.815956428890e-07       6.815959214447e-07       6.815959196722e-07       6.812655325614e-07       6.815836982278e-07 
       6.940409322464e-05       7.216350189066e-07       7.219821757026e-07       7.219824881906e-07       7.219824862019e-07       7.216118002589e-07       7.219687740561e-07 
       7.143072933625e-05       7.643721844055e-07       7.647616923659e-07       7.647620429289e-07       7.647620406975e-07       7.643461336964e-07       7.647466557643e-07 
       7.351654429076e-05       8.096389652552e-07       8.100759820790e-07       8.100763753340e-07       8.100763728303e-07       8.096097373022e-07       8.100591113902e-07 
       7.566326614156e-05       8.575849042889e-07       8.580752266172e-07       8.580756682549e-07       8.580756654458e-07       8.575521101287e-07       8.580562984279e-07 
