# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       2.013191483291e-04       6.049571552638e-06       6.074111381913e-06       6.074133437336e-06       6.074133296451e-06       6.047934076434e-06       6.073164078549e-06 
       2.071977735946e-04       6.406449928281e-06       6.433981649041e-06       6.434006384862e-06       6.434006226792e-06       6.404613132856e-06       6.432918848776e-06 
       2.132480578171e-04       6.784281520172e-06       6.815170132419e-06       6.815197892626e-06       6.815197715275e-06       6.782221109479e-06       6.813977759026e-06 
       2.194750135285e-04       7.184284860070e-06       7.218939502957e-06       7.218970650278e-06       7.218970451294e-06       7.181973667608e-06       7.217601760665e-06 
       2.258837996296e-04       7.607747347107e-06       7.646627036763e-06       7.646661971940e-06       7.646661748683e-06       7.605154924286e-06       7.645126199666e-06 
       2.324797256634e-04       8.056029658816e-06       8.099649121687e-06       8.099688335667e-06       8.099688085177e-06       8.053121751264e-06       8.097965344185e-06 
       2.392682562148e-04       8.530569179646e-06       8.579506046961e-06       8.579550044956e-06       8.579549763909e-06       8.527307505159e-06       8.577617023844e-06 
       2.462550154372e-04       9.032884485659e-06       9.087786791575e-06       9.087836158328e-06       9.087835842997e-06       9.029226068387e-06       9.085667513029e-06 
       2.534457917122e-04       9.564580180200e-06       9.626174517501e-06       9.626229906512e-06       9.626229552714e-06       9.560476855155e-06       9.623796940480e-06 
       2.608465424454e-04       1.012735022443e-05       1.019645182865e-05       1.019651397448e-05       1.019651357753e-05       1.012274798434e-05       1.019378449053e-05 
       2.684633990017e-04       1.072298357103e-05       1.080050686349e-05       1.080057659012e-05       1.080057614474e-05       1.071782187275e-05       1.079751447431e-05 
       2.763026717849e-04       1.135336868616e-05       1.144033940808e-05       1.144041765532e-05       1.144041715561e-05       1.134757961724e-05       1.143698239426e-05 
       2.843708554663e-04       1.202049885779e-05       1.211806765806e-05       1.211815543430e-05       1.211815487362e-05       1.201400642034e-05       1.211430159305e-05 
       2.926746343646e-04       1.272647767144e-05       1.283593502773e-05       1.283603348654e-05       1.283603285746e-05       1.271919662543e-05       1.283171010428e-05 
       3.012208879845e-04       1.347352394938e-05       1.359631743620e-05       1.359642793377e-05       1.359642722795e-05       1.346535857912e-05       1.359157783220e-05 
       3.100166967156e-04       1.426397847965e-05       1.440173170165e-05       1.440185565983e-05       1.440185486789e-05       1.425482179796e-05       1.439641473281e-05 
       3.190693476988e-04       1.510030944648e-05       1.525484313715e-05       1.525498223406e-05       1.525498134550e-05       1.509004133069e-05       1.524887857336e-05 
       3.283863408632e-04       1.598511814110e-05       1.615847474637e-05       1.615863081088e-05       1.615862981392e-05       1.597360412877e-05       1.615178376697e-05 
       3.379753951399e-04       1.692114644559e-05       1.711561639142e-05       1.711579150940e-05       1.711579039081e-05       1.690823578846e-05       1.710811063460e-05 
       3.478444548567e-04       1.791128258587e-05       1.812943469533e-05       1.812963118139e-05       1.812962992632e-05       1.789680645837e-05       1.812101504300e-05 
       3.580016963202e-04       1.895856768082e-05       1.920328328153e-05       1.920350371680e-05       1.920350230861e-05       1.894233698580e-05       1.919383854969e-05 
       3.684555345892e-04       2.006620453992e-05       2.034071413213e-05       2.034096146329e-05       2.034095988329e-05       2.004800732830e-05       2.033011970641e-05 
       3.792146304469e-04       2.123756229848e-05       2.154548897286e-05       2.154576645717e-05       2.154576468441e-05       2.121716130657e-05       2.153360506374e-05 
       3.902878975758e-04       2.247618517711e-05       2.282159166444e-05       2.282190299576e-05       2.282190100671e-05       2.245331457214e-05       2.280826155650e-05 
       4.016845099426e-04       2.378579901483e-05       2.417324131299e-05       2.417359063448e-05       2.417358840275e-05       2.376016110502e-05       2.415828927081e-05 
       4.134139093988e-04       2.517031962155e-05       2.560490630843e-05       2.560529822991e-05       2.560529572590e-05       2.514158119498e-05       2.558813526267e-05 
       4.254858135027e-04       2.663385997676e-05       2.712131878340e-05       2.712175849047e-05       2.712175568094e-05       2.660164795915e-05       2.710250780211e-05 
       4.379102235708e-04       2.818073664392e-05       2.872748986635e-05       2.872798324111e-05       2.872798008880e-05       2.814463322801e-05       2.870639128899e-05 
       4.506974329629e-04       2.981547899106e-05       3.042872691350e-05       3.042928043228e-05       3.042927689536e-05       2.977501689806e-05       3.040506300109e-05 
       4.638580356106e-04       3.154283519120e-05       3.223064986528e-05       3.223127091333e-05       3.223126694487e-05       3.149749117469e-05       3.220410936176e-05 
       4.774029347938e-04       3.336777855783e-05       3.413921014992e-05       3.413990694744e-05       3.413990249479e-05       3.331696732237e-05       3.410944405653e-05 
       4.913433521739e-04       3.529551756307e-05       3.616071042771e-05       3.616149220809e-05       3.616148721217e-05       3.523858433058e-05       3.612732758654e-05 
       5.056908370909e-04       3.733149874989e-05       3.830182453900e-05       3.830270164793e-05       3.830269604244e-05       3.726771117233e-05       3.826438649064e-05 
       5.204572761313e-04       3.948141552833e-05       4.056961974065e-05       4.057060382730e-05       4.057059753789e-05       3.940995454147e-05       4.052763512475e-05 
       5.356549029765e-04       4.175120969064e-05       4.297157919950e-05       4.297268324886e-05       4.297267619206e-05       4.167115971110e-05       4.292449721433e-05 
       5.512963085377e-04       4.414708178124e-05       4.551562706057e-05       4.551686577081e-05       4.551685785299e-05       4.405741904650e-05       4.546283060819e-05 
       5.673944513874e-04       4.667549005648e-05       4.821015393505e-05       4.821154365878e-05       4.821153477489e-05       4.657507080191e-05       4.815095139791e-05 
       5.839626684951e-04       4.934315449777e-05       5.106404353913e-05       5.106560278880e-05       5.106559282096e-05       4.923070036972e-05       5.099766010071e-05 
       6.010146862770e-04       5.215705943314e-05       5.408670282408e-05       5.408845221141e-05       5.408844102736e-05       5.203114293538e-05       5.401227028218e-05 
       6.185646319679e-04       5.512445223316e-05       5.728809129227e-05       5.729005405011e-05       5.729004150145e-05       5.498347906752e-05       5.720463711962e-05 
       6.366270453251e-04       5.825284015116e-05       6.067875384274e-05       6.068095584258e-05       6.068094176282e-05       5.809503091044e-05       6.058518845392e-05 
       6.552168906749e-04       6.154998730816e-05       6.426985399461e-05       6.427232451560e-05       6.427230871791e-05       6.137335561393e-05       6.416495717407e-05 
       6.743495693093e-04       6.502390977236e-05       6.807321177732e-05       6.807598339969e-05       6.807596567445e-05       6.482624022467e-05       6.795561676195e-05 
       6.940409322464e-04       6.868286231803e-05       7.210133949720e-05       7.210444894975e-05       7.210442906177e-05       6.846168379364e-05       7.196951587695e-05 
       7.143072933625e-04       7.253532881430e-05       7.636748343919e-05       7.637097206293e-05       7.637094974833e-05       7.228788620248e-05       7.621971776048e-05 
       7.351654429076e-04       7.659000216968e-05       8.088566627745e-05       8.088958016372e-05       8.088955512640e-05       7.631322599536e-05       8.072003996074e-05 
       7.566326614156e-04       8.085576575800e-05       8.567073138694e-05       8.567512229347e-05       8.567509420122e-05       8.054623694560e-05       8.548509678625e-05 
       7.787267340214e-04       8.534166781112e-05       9.073839094740e-05       9.074331694536e-05       9.074328542543e-05       8.499557972664e-05       9.053034432942e-05 
       8.014659651953e-04       9.005688822969e-05       9.610527521848e-05       9.611080175718e-05       9.611076639132e-05       8.967000421536e-05       9.587212685017e-05 
       8.248691939074e-04       9.501069901900e-05       1.017889867634e-04       1.017951868263e-04       1.017951471452e-04       9.457830804306e-05       1.015277266497e-04 
       8.489558092359e-04       1.002124243669e-04       1.078081550443e-04       1.078151109625e-04       1.078150664397e-04       9.972928885410e-05       1.075154162574e-04 
       8.737457664304e-04       1.056713812337e-04       1.141824972782e-04       1.141903006785e-04       1.141902507233e-04       1.051316843679e-04       1.138545131760e-04 
       8.992596034440e-04       1.113968201433e-04       1.209328777911e-04       1.209416319830e-04       1.209415759324e-04       1.107941031127e-04       1.205654364994e-04 
       9.255184579492e-04       1.173978518024e-04       1.280813763415e-04       1.280911972029e-04       1.280911343132e-04       1.167249494276e-04       1.276697685809e-04 
       9.525440848495e-04       1.236833578647e-04       1.356513565301e-04       1.356623733810e-04       1.356623028177e-04       1.229323284148e-04       1.351903173071e-04 
       9.803588743031e-04       1.302619049722e-04       1.436675381719e-04       1.436798969919e-04       1.436798178187e-04       1.294239498146e-04       1.431511841345e-04 
       1.008985870272e-03       1.371416205790e-04       1.521560764807e-04       1.521699402063e-04       1.521698513727e-04       1.362070038955e-04       1.515778331433e-04 
       1.038448789616e-03       1.443300750634e-04       1.611446400219e-04       1.611601926084e-04       1.611600929356e-04       1.432880299603e-04       1.604971643070e-04 
       1.068772041737e-03       1.518341269241e-04       1.706625006761e-04       1.706799472172e-04       1.706798353826e-04       1.506727631331e-04       1.699375909431e-04 
       1.099980748807e-03       1.596597674293e-04       1.807406207091e-04       1.807601913085e-04       1.807600658282e-04       1.583659657045e-04       1.799291203108e-04 
       1.132100766576e-03       1.678119281854e-04       1.914117472417e-04       1.914337006169e-04       1.914335598259e-04       1.663712290851e-04       1.905034367961e-04 
       1.165158705797e-03       1.762942738684e-04       2.027105163296e-04       2.027351415408e-04       2.027349835710e-04       1.746907644393e-04       2.016939925348e-04 
       1.199181954271e-03       1.851089684458e-04       2.146735534712e-04       2.147011755099e-04       2.147009982650e-04       1.833251566481e-04       2.135360980337e-04 
       1.234198699538e-03       1.942564066536e-04       2.273395868463e-04       2.273705703885e-04       2.273703715167e-04       1.922730949736e-04       2.260670193106e-04 
       1.270237952227e-03       2.037393572361e-04       2.407502852901e-04       2.407850226224e-04       2.407848062443e-04       2.015370764415e-04       2.393269594757e-04 
       1.307329570095e-03       2.135645065887e-04       2.549506940005e-04       2.549895874623e-04       2.549893728717e-04       2.111255433968e-04       2.533595433083e-04 
       1.345504282758e-03       2.237130448840e-04       2.699846430324e-04       2.700281888708e-04       2.700279760486e-04       2.210132859435e-04       2.682061632832e-04 
       1.384793717157e-03       2.341753967921e-04       2.859005740695e-04       2.859493280595e-04       2.859491169840e-04       2.311885791889e-04       2.839130547959e-04 
       1.425230423754e-03       2.449384265324e-04       3.027496851584e-04       3.028042699496e-04       3.028040605965e-04       2.416360118664e-04       3.005289717869e-04 
       1.466847903501e-03       2.559849635882e-04       3.205860792986e-04       3.206471952441e-04       3.206469875871e-04       2.523360158169e-04       3.181053143532e-04 
       1.509680635597e-03       2.672932515619e-04       3.394669288994e-04       3.395353578600e-04       3.395351518711e-04       2.632643414288e-04       3.366962605917e-04 
       1.553764106052e-03       2.788363789031e-04       3.594526319128e-04       3.595292493542e-04       3.595290450041e-04       2.743914935660e-04       3.563589017192e-04 
       1.599134837084e-03       2.905816664183e-04       3.806069860327e-04       3.806927763078e-04       3.806925735659e-04       2.856821417230e-04       3.771533890825e-04 
       1.645830417382e-03       3.024899518475e-04       4.029973805381e-04       4.030934398591e-04       4.030932386940e-04       2.970944593948e-04       3.991430822485e-04 
       1.693889533242e-03       3.145148774313e-04       4.266949651809e-04       4.268025238489e-04       4.268023242285e-04       3.085794295740e-04       4.223946999268e-04 
       1.743352000622e-03       3.266021138611e-04       4.517748549907e-04       4.518952976714e-04       4.518950995630e-04       3.200801293945e-04       4.469784866221e-04 
       1.794258798126e-03       3.386884925588e-04       4.783163578808e-04       4.784512264000e-04       4.784510297707e-04       3.315309651576e-04       4.729683858899e-04 
       1.846652100954e-03       3.507011581936e-04       5.064031555589e-04       5.065541828782e-04       5.065539876947e-04       3.428568649708e-04       5.004422075859e-04 
       1.900575315847e-03       3.625565900162e-04       5.361235573191e-04       5.362926763094e-04       5.362924825386e-04       3.539724562602e-04       5.294818166928e-04 
       1.956073117042e-03       3.741596916539e-04       5.675707022605e-04       5.677600883142e-04       5.677598959227e-04       3.647812401322e-04       5.601733214981e-04 
       2.013191483291e-03       3.854027417013e-04       6.008428420288e-04       6.010549210930e-04       6.010547300477e-04       3.751747552979e-04       5.926072809175e-04 
       2.071977735946e-03       3.961644250145e-04       6.360435510584e-04       6.362810495066e-04       6.362808597747e-04       3.850317524267e-04       6.268789055002e-04 
       2.132480578171e-03       4.063087854311e-04       6.732820341738e-04       6.735479933385e-04       6.735478048872e-04       3.942174256197e-04       6.630882891601e-04 
       2.194750135285e-03       4.156842425530e-04       7.126733561536e-04       7.129711833555e-04       7.129709961526e-04       4.025826605989e-04       7.013406253035e-04 
       2.258837996296e-03       4.241226452490e-04       7.543387218904e-04       7.546722483518e-04       7.546720623654e-04       4.099634071110e-04       7.417464505942e-04 
       2.324797256634e-03       4.314383651080e-04       7.984058310677e-04       7.987793226703e-04       7.987791378689e-04       4.161802048530e-04       7.844219202629e-04 
       2.392682562148e-03       4.374275671684e-04       8.450090808929e-04       8.454273324244e-04       8.454271487769e-04       4.210377952537e-04       8.294890476416e-04 
       2.462550154372e-03       4.418675500638e-04       8.942899780781e-04       8.947583290062e-04       8.947581464822e-04       4.243250539521e-04       8.770760213633e-04 
       2.534457917122e-03       4.445164059671e-04       9.463973486101e-04       9.469217978815e-04       9.469216164510e-04       4.258151154110e-04       9.273174809860e-04 
       2.608465424454e-03       4.451128062837e-04       1.001487750238e-03       1.002074996233e-03       1.002074815866e-03       4.252658871613e-04       9.803548567839e-04 
       2.684633990017e-03       4.433762857872e-04       1.059725757871e-03       1.060383299664e-03       1.060383120333e-03       4.224209998082e-04       1.036336714831e-03 
       2.763026717849e-03       4.390078422670e-04       1.121284325765e-03       1.122020547301e-03       1.122020368977e-03       4.170112299710e-04       1.095419127470e-03 
       2.843708554663e-03       4.316911074250e-04       1.186345108787e-03       1.187169393820e-03       1.187169216475e-03       4.087565306575e-04       1.157766065307e-03 
       2.926746343646e-03       4.210941580819e-04       1.255098842934e-03       1.256021684114e-03       1.256021507721e-03       3.973688107498e-04       1.223549842975e-03 
       3.012208879845e-03       4.068720511084e-04       1.327745688543e-03       1.328778813935e-03       1.328778638468e-03       3.825554812579e-04       1.292951576078e-03 
       3.100166967156e-03       3.886702823647e-04       1.404495583551e-03       1.405652106953e-03       1.405651932385e-03       3.640239738296e-04       1.366161689038e-03 
       3.190693476988e-03       3.661292625056e-04       1.485568637661e-03       1.486863201323e-03       1.486863027630e-03       3.414873267222e-04       1.443380476734e-03 
       3.283863408632e-03       3.388899899036e-04       1.571195410817e-03       1.572644409242e-03       1.572644236399e-03       3.146708949547e-04       1.524818670799e-03 
       3.379753951399e-03       3.066010698524e-04       1.661617413503e-03       1.663239132699e-03       1.663238960681e-03       2.833204750760e-04       1.610698138691e-03 
       3.478444548567e-03       2.689272727684e-04       1.757087343368e-03       1.758902221900e-03       1.758902050684e-03       2.472117093833e-04       1.701252549835e-03 
       3.580016963202e-03       2.255597473606e-04       1.857869483159e-03       1.859900361717e-03       1.859900191280e-03       2.061610462185e-04       1.796728151497e-03 
       3.684555345892e-03       1.762280929749e-04       1.964240106658e-03       1.966512466325e-03       1.966512296645e-03       1.600382606685e-04       1.897384618932e-03 
       3.792146304469e-03       1.207144038272e-04       2.076487751864e-03       2.079030046117e-03       2.079029877171e-03       1.087804681275e-04       2.003495930156e-03 
       3.902878975758e-03       5.886932183736e-05       2.194913548886e-03       2.197757562943e-03       2.197757394711e-03       5.240762713392e-05       2.115351308637e-03 
       4.016845099426e-03      -9.369698577436e-06       2.319831690542e-03       2.323012843062e-03       2.323012675523e-03      -8.960488889041e-06       2.233256307831e-03 
       4.134139093988e-03      -8.395816527875e-05       2.451569529106e-03       2.455127378833e-03       2.455127211966e-03      -7.508640298699e-05       2.357533805791e-03 
       4.254858135027e-03      -1.647222690797e-04       2.590468073006e-03       2.594446714638e-03       2.594446548423e-03      -1.455961164965e-04       2.488525191561e-03 
       4.379102235708e-03      -2.513349413476e-04       2.736882167281e-03       2.741330773619e-03       2.741330608038e-03      -2.199601829173e-04       2.626591493178e-03 
       4.506974329629e-03      -3.432906004980e-04       2.891180753612e-03       2.896154172355e-03       2.896154007388e-03      -2.974752509006e-04       2.772114530711e-03 
       4.638580356106e-03      -4.398791213128e-04       3.053747247583e-03       3.059306583047e-03       3.059306418676e-03      -3.772469495070e-04       2.925498122442e-03 
       4.774029347938e-03      -5.401600468818e-04       3.224979682945e-03       3.231192989615e-03       3.231192825822e-03      -4.581754611359e-04       3.087169121264e-03 
       4.913433521739e-03      -6.429379768736e-04       3.405290852266e-03       3.412233988866e-03       3.412233825634e-03      -5.389450212017e-04       3.257578398550e-03 
       5.056908370909e-03      -7.467405147764e-04       3.595108586452e-03       3.602866005504e-03       3.602865842816e-03      -6.180191389441e-04       3.437201633247e-03 
