#             k/h            CDM         baryon         photon             nu        mass_nu          total          no_nu       total_de           Weyl          v_CDM            v_b        v_b-v_c
   2.835863e-04    2.440695e+05    2.440629e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.464085e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.429396e+05    2.429379e+05    0.000000e+00
   3.181890e-04    2.440560e+05    2.440477e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.463859e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.429244e+05    2.429222e+05    0.000000e+00
   3.570140e-04    2.440391e+05    2.440287e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.463575e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.429077e+05    2.429050e+05    0.000000e+00
   4.005763e-04    2.440178e+05    2.440047e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.463217e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.428845e+05    2.428811e+05    0.000000e+00
   4.494540e-04    2.439910e+05    2.439745e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.462768e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.428567e+05    2.428524e+05    0.000000e+00
   5.042956e-04    2.439573e+05    2.439365e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.462202e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.428214e+05    2.428158e+05    0.000000e+00
   5.658290e-04    2.439149e+05    2.438887e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.461491e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.427777e+05    2.427712e+05    0.000000e+00
   6.348706e-04    2.438616e+05    2.438286e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.460597e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.427221e+05    2.427131e+05    0.000000e+00
   7.123365e-04    2.437945e+05    2.437530e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.459474e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.426525e+05    2.426415e+05    0.000000e+00
   7.992547e-04    2.437101e+05    2.436579e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.458064e+05    0.000000e+00    0.000000e+00    0.000000e+00    2.425654e+05    2.425520e+05    0.000000e+00
