# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.839626686785e-04       2.782777045681e+03 
       6.010146864658e-04       2.859421249249e+03 
       6.185646321622e-04       2.938109375048e+03 
       6.366270455252e-04       3.018891234928e+03 
       6.552168908807e-04       3.101817394306e+03 
       6.743495695211e-04       3.186939517128e+03 
       6.940409324645e-04       3.274309765830e+03 
       7.143072935870e-04       3.363981691166e+03 
       7.351654431385e-04       3.456009418886e+03 
       7.566326616533e-04       3.550448074298e+03 
       7.787267342661e-04       3.647353230222e+03 
       8.014659654471e-04       3.746781848881e+03 
       8.248691941665e-04       3.848791365855e+03 
       8.489558095026e-04       3.953440003314e+03 
       8.737457667049e-04       4.060786674718e+03 
       8.992596037266e-04       4.170891176104e+03 
       9.255184582400e-04       4.283813691366e+03 
       9.525440851488e-04       4.399615150081e+03 
       9.803588746111e-04       4.518357166227e+03 
       1.008985870589e-03       4.640101509173e+03 
       1.038448789942e-03       4.764910608822e+03 
       1.068772042073e-03       4.892847215330e+03 
       1.099980749152e-03       5.023974361599e+03 
       1.132100766931e-03       5.158355296130e+03 
       1.165158706163e-03       5.296053226995e+03 
       1.199181954648e-03       5.437131785027e+03 
       1.234198699926e-03       5.581654277437e+03 
       1.270237952626e-03       5.729690509435e+03 
       1.307329570505e-03       5.881319261471e+03 
       1.345504283181e-03       6.036584525693e+03 
       1.384793717592e-03       6.195548747643e+03 
       1.425230424202e-03       6.358273791154e+03 
       1.466847903962e-03       6.524820858902e+03 
       1.509680636071e-03       6.695249776712e+03 
       1.553764106540e-03       6.869620376390e+03 
       1.599134837587e-03       7.047990416139e+03 
       1.645830417899e-03       7.230416843876e+03 
       1.693889533774e-03       7.416954977143e+03 
       1.743352001170e-03       7.607657796142e+03 
       1.794258798689e-03       7.802577603404e+03 
       1.846652101534e-03       8.001762966218e+03 
       1.900575316444e-03       8.205261603443e+03 
       1.956073117657e-03       8.413117513500e+03 
       2.013191483923e-03       8.625372684520e+03 
       2.071977736597e-03       8.842065514161e+03 
       2.132480578841e-03       9.063231404064e+03 
       2.194750135975e-03       9.288902472760e+03 
       2.258837997005e-03       9.519105870749e+03 
       2.324797257365e-03       9.753866590664e+03 
       2.392682562900e-03       9.993202855129e+03 
       2.462550155146e-03       1.023713000228e+04 
       2.534457917919e-03       1.048565759196e+04 
       2.608465425274e-03       1.073878884920e+04 
       2.684633990860e-03       1.099652305734e+04 
       2.763026718718e-03       1.125885151119e+04 
       2.843708555556e-03       1.152576049189e+04 
       2.926746344566e-03       1.179722841591e+04 
       3.012208880792e-03       1.207322565933e+04 
       3.100166968130e-03       1.235371700180e+04 
       3.190693477991e-03       1.263865586215e+04 
       3.283863409664e-03       1.292799081744e+04 
       3.379753952460e-03       1.322165715076e+04 
       3.478444549660e-03       1.351958300646e+04 
       3.580016964326e-03       1.382168616528e+04 
       3.684555347050e-03       1.412787240489e+04 
       3.792146305661e-03       1.443804037239e+04 
       3.902878976984e-03       1.475207179349e+04 
       4.016845100688e-03       1.506983800572e+04 
       4.134139095287e-03       1.539120701442e+04 
       4.254858136364e-03       1.571601720219e+04 
       4.379102237084e-03       1.604410884437e+04 
       4.506974331045e-03       1.637529844767e+04 
       4.638580357563e-03       1.670933800150e+04 
       4.774029349438e-03       1.704611932632e+04 
       4.913433523283e-03       1.738533614681e+04 
       5.056908372497e-03       1.772687080669e+04 
       5.204572762948e-03       1.807035546449e+04 
       5.356549031448e-03       1.841553214860e+04 
       5.512963087109e-03       1.876209065629e+04 
       5.673944515656e-03       1.910972142019e+04 
       5.839626686785e-03       1.945809735924e+04 
       6.010146864658e-03       1.980687242666e+04 
       6.185646321622e-03       2.015566745152e+04 
       6.366270455252e-03       2.050409685297e+04 
       6.552168908807e-03       2.085175246529e+04 
       6.743495695211e-03       2.119820197323e+04 
       6.940409324645e-03       2.154294196702e+04 
       7.143072935870e-03       2.188557335254e+04 
       7.351654431385e-03       2.222552497707e+04 
       7.566326616533e-03       2.256232883786e+04 
       7.787267342661e-03       2.289537754882e+04 
       8.014659654471e-03       2.322411059517e+04 
       8.248691941665e-03       2.354792086021e+04 
       8.489558095026e-03       2.386623816384e+04 
       8.737457667049e-03       2.417825628009e+04 
       8.992596037266e-03       2.448354397423e+04 
       9.255184582400e-03       2.478115684370e+04 
       9.525440851488e-03       2.507054973092e+04 
       9.803588746111e-03       2.535090450382e+04 
       1.008985870589e-02       2.562144993139e+04 
