# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.839626686785e-04       2.782751274382e+03 
       6.010146864658e-04       2.859394768147e+03 
       6.185646321622e-04       2.938082165216e+03 
       6.366270455252e-04       3.018863276975e+03 
       6.552168908807e-04       3.101788668374e+03 
       6.743495695211e-04       3.186910002880e+03 
       6.940409324645e-04       3.274279442446e+03 
       7.143072935870e-04       3.363950537331e+03 
       7.351654431385e-04       3.455977412782e+03 
       7.566326616533e-04       3.550415193596e+03 
       7.787267342661e-04       3.647319452082e+03 
       8.014659654471e-04       3.746747149932e+03 
       8.248691941665e-04       3.848755722197e+03 
       8.489558095026e-04       3.953403390504e+03 
       8.737457667049e-04       4.060749067772e+03 
       8.992596037266e-04       4.170852549479e+03 
       9.255184582400e-04       4.283774018965e+03 
       9.525440851488e-04       4.399574405243e+03 
       9.803588746111e-04       4.518315321719e+03 
       1.008985870589e-03       4.640058537190e+03 
       1.038448789942e-03       4.764866480983e+03 
       1.068772042073e-03       4.892801902670e+03 
       1.099980749152e-03       5.023927834569e+03 
       1.132100766931e-03       5.158307524599e+03 
       1.165158706163e-03       5.296004180243e+03 
       1.199181954648e-03       5.437081431747e+03 
       1.234198699926e-03       5.581602585733e+03 
       1.270237952626e-03       5.729637446767e+03 
       1.307329570505e-03       5.881264794570e+03 
       1.345504283181e-03       6.036528620882e+03 
       1.384793717592e-03       6.195491370625e+03 
       1.425230424202e-03       6.358214907176e+03 
       1.466847903962e-03       6.524760432532e+03 
       1.509680636071e-03       6.695187771995e+03 
       1.553764106540e-03       6.869556756830e+03 
       1.599134837587e-03       7.047925144694e+03 
       1.645830417899e-03       7.230349882979e+03 
       1.693889533774e-03       7.416886288717e+03 
       1.743352001170e-03       7.607587341617e+03 
       1.794258798689e-03       7.802505343727e+03 
       1.846652101534e-03       8.001688861885e+03 
       1.900575316444e-03       8.205185614510e+03 
       1.956073117657e-03       8.413039599611e+03 
       2.013191483923e-03       8.625292804937e+03 
       2.071977736597e-03       8.841983627786e+03 
       2.132480578841e-03       9.063147469473e+03 
       2.194750135975e-03       9.288816448230e+03 
       2.258837997005e-03       9.519017714306e+03 
       2.324797257365e-03       9.753776260102e+03 
       2.392682562900e-03       9.993110308076e+03 
       2.462550155146e-03       1.023703519622e+04 
       2.534457917919e-03       1.048556048429e+04 
       2.608465425274e-03       1.073868939728e+04 
       2.684633990860e-03       1.099642121855e+04 
       2.763026718718e-03       1.125874724299e+04 
       2.843708555556e-03       1.152565375184e+04 
       2.926746344566e-03       1.179711916180e+04 
       3.012208880792e-03       1.207311384921e+04 
       3.100166968130e-03       1.235360259406e+04 
       3.190693477991e-03       1.263853881560e+04 
       3.283863409664e-03       1.292787109137e+04 
       3.379753952460e-03       1.322153470505e+04 
       3.478444549660e-03       1.351945780167e+04 
       3.580016964326e-03       1.382155816274e+04 
       3.684555347050e-03       1.412774156677e+04 
       3.792146305661e-03       1.443790666183e+04 
       3.902878976984e-03       1.475193517471e+04 
       4.016845100688e-03       1.506969844413e+04 
       4.134139095287e-03       1.539106447667e+04 
       4.254858136364e-03       1.571587165640e+04 
       4.379102237084e-03       1.604396026017e+04 
       4.506974331045e-03       1.637514679637e+04 
       4.638580357563e-03       1.670918324333e+04 
       4.774029349438e-03       1.704596145854e+04 
       4.913433523283e-03       1.738517514615e+04 
       5.056908372497e-03       1.772670659481e+04 
       5.204572762948e-03       1.807018807524e+04 
       5.356549031448e-03       1.841536158141e+04 
       5.512963087109e-03       1.876191689314e+04 
       5.673944515656e-03       1.910954445792e+04 
       5.839626686785e-03       1.945791717035e+04 
       6.010146864658e-03       1.980668902668e+04 
       6.185646321622e-03       2.015548082803e+04 
       6.366270455252e-03       2.050390698998e+04 
       6.552168908807e-03       2.085155937659e+04 
       6.743495695211e-03       2.119800569629e+04 
       6.940409324645e-03       2.154274246812e+04 
       7.143072935870e-03       2.188537077437e+04 
       7.351654431385e-03       2.222531928926e+04 
       7.566326616533e-03       2.256210318021e+04 
       7.787267342661e-03       2.289516551833e+04 
       8.014659654471e-03       2.322389553500e+04 
       8.248691941665e-03       2.354770287622e+04 
       8.489558095026e-03       2.386601716815e+04 
       8.737457667049e-03       2.417803247880e+04 
       8.992596037266e-03       2.448331726726e+04 
       9.255184582400e-03       2.478092753095e+04 
       9.525440851488e-03       2.507031740467e+04 
       9.803588746111e-03       2.535066998389e+04 
       1.008985870589e-02       2.562121269556e+04 
       1.038448789942e-02       2.588116738860e+04 
       1.068772042073e-02       2.612968798926e+04 
       1.099980749152e-02       2.636596168554e+04 
       1.132100766931e-02       2.658912490920e+04 
       1.165158706163e-02       2.679836899409e+04 
       1.199181954648e-02       2.699267853023e+04 
       1.234198699926e-02       2.717112691088e+04 
       1.270237952626e-02       2.733298932131e+04 
       1.307329570505e-02       2.747723481746e+04 
       1.345504283181e-02       2.760296505951e+04 
       1.384793717592e-02       2.770924973417e+04 
       1.425230424202e-02       2.779519491000e+04 
       1.466847903963e-02       2.785996377065e+04 
       1.509680636074e-02       2.790253232113e+04 
       1.553764106548e-02       2.792204258121e+04 
       1.599134837608e-02       2.791784158335e+04 
       1.645830417957e-02       2.788907258503e+04 
       1.693889533924e-02       2.783505022708e+04 
       1.743352001546e-02       2.775507153376e+04 
       1.794258799607e-02       2.764856104951e+04 
       1.846652103709e-02       2.751505501943e+04 
       1.900575321452e-02       2.735410342098e+04 
       1.956073128870e-02       2.716543289537e+04 
       2.013191508353e-02       2.694891649081e+04 
       2.071977788416e-02       2.670452833999e+04 
       2.132480685939e-02       2.643227489664e+04 
       2.194750351787e-02       2.613254079970e+04 
       2.258838421306e-02       2.580573780271e+04 
       2.324798071816e-02       2.545265906105e+04 
       2.392684090240e-02       2.507396145189e+04 
       2.462552955212e-02       2.467076586412e+04 
       2.534462939499e-02       2.424436973112e+04 
       2.608474240342e-02       2.379615427430e+04 
       2.684649147135e-02       2.332802800296e+04 
       2.763052257754e-02       2.284186560793e+04 
       2.843750756313e-02       2.233945277782e+04 
       2.926814766066e-02       2.182345180001e+04 
       3.012317791048e-02       2.129635825425e+04 
       3.100337258439e-02       2.076081413277e+04 
       3.190955170259e-02       2.021947187456e+04 
       3.284258867309e-02       1.967534064158e+04 
       3.380341900404e-02       1.913141135743e+04 
       3.479304993695e-02       1.859068141860e+04 
       3.581257073019e-02       1.805611862622e+04 
       3.686316319320e-02       1.753064685153e+04 
       3.794611194825e-02       1.701705944323e+04 
       3.906281379287e-02       1.651801767520e+04 
       4.021478547217e-02       1.603604798391e+04 
