# Matter power spectrum P(k) at redshift z=0
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.055905901978e-01       5.182710964418e+03 
       1.091074500934e-01       5.001172117031e+03 
       1.127445468941e-01       4.851212262961e+03 
       1.165055595874e-01       4.717793103745e+03 
       1.203943092911e-01       4.583813979025e+03 
       1.244147662697e-01       4.433076164695e+03 
       1.285710568303e-01       4.253343433550e+03 
       1.328674700911e-01       4.039545582093e+03 
       1.373084646056e-01       3.795412160854e+03 
       1.418986748210e-01       3.533157877420e+03 
       1.466429173391e-01       3.270551302502e+03 
       1.515461969428e-01       3.026633979368e+03 
       1.566137123413e-01       2.816811671175e+03 
       1.618508615817e-01       2.649091043762e+03 
       1.672632470626e-01       2.522123200660e+03 
       1.728566800795e-01       2.425258468951e+03 
       1.786371848180e-01       2.342540355358e+03 
       1.846110017042e-01       2.254956596357e+03 
       1.907845900045e-01       2.147410055752e+03 
       1.971646295613e-01       2.016402908988e+03 
       2.037580215324e-01       1.871046483126e+03 
       2.105718879931e-01       1.727438420733e+03 
       2.176135702436e-01       1.600728544657e+03 
       2.248906256537e-01       1.499591427573e+03 
       2.324108228622e-01       1.422977882579e+03 
       2.401821351383e-01       1.360053320957e+03 
       2.482127317005e-01       1.296282195643e+03 
       2.565109667824e-01       1.222270999266e+03 
       2.650853662287e-01       1.138238206130e+03 
       2.739446114046e-01       1.053501549886e+03 
       2.830975202080e-01       9.793787777853e+02 
       2.925530249865e-01       9.199512761945e+02 
       3.023201471855e-01       8.706350365778e+02 
       3.124079685928e-01       8.228915096583e+02 
       3.228255990988e-01       7.709792208497e+02 
       3.335821409741e-01       7.169671077740e+02 
       3.446866497744e-01       6.667660309293e+02 
       3.561480921288e-01       6.241536941036e+02 
       3.679753008612e-01       5.869879624784e+02 
       3.801769281432e-01       5.508195215723e+02 
       3.927613976821e-01       5.140525981373e+02 
       4.057368573325e-01       4.787881425172e+02 
       4.191111339651e-01       4.471580307969e+02 
       4.328916929461e-01       4.188648840205e+02 
       4.470856051459e-01       3.919318498635e+02 
       4.616995249803e-01       3.656742682122e+02 
       4.767396835364e-01       3.410763280985e+02 
       4.922119012726e-01       3.188242649419e+02 
       5.081216249989e-01       2.981048572363e+02 
       5.244739937188e-01       2.783047713604e+02 
       5.412739373025e-01       2.598002067203e+02 
       5.585263107358e-01       2.427600505397e+02 
       5.762360647597e-01       2.268548280149e+02 
       5.944084510740e-01       2.118832763039e+02 
       6.130492570340e-01       1.979539124278e+02 
       6.321650611971e-01       1.850249887924e+02 
       6.517634975818e-01       1.729268821473e+02 
       6.718535136352e-01       1.616253675097e+02 
       6.924456052337e-01       1.511096104594e+02 
       7.135520120448e-01       1.412949499644e+02 
       7.351868585410e-01       1.321281487018e+02 
       7.573662298202e-01       1.235753059140e+02 
       7.801081767683e-01       1.155856933116e+02 
       8.034326513059e-01       1.081174917937e+02 
       8.273613786321e-01       1.011384611403e+02 
       8.519176786735e-01       9.461158446652e+01 
       8.771262526799e-01       8.850646270523e+01 
       9.030129527154e-01       8.279385095226e+01 
       9.296045516056e-01       7.744664714964e+01 
       9.569285289892e-01       7.244028463167e+01 
       9.850128859237e-01       6.775186417406e+01 
       1.013885996583e+00       6.336071546310e+01 
       1.043576501494e+00       5.924771761825e+01 
       1.074113242974e+00       5.539374451157e+01 
       1.105525240241e+00       5.178285715939e+01 
       1.137841699344e+00       4.840144897156e+01 
       1.171092051561e+00       4.523438353115e+01 
       1.205306013260e+00       4.226713683349e+01 
       1.240513660317e+00       3.948921684777e+01 
       1.276745510754e+00       3.688696525214e+01 
       1.314032610269e+00       3.445138285662e+01 
       1.352406616515e+00       3.217067696249e+01 
       1.391899879178e+00       3.003713232243e+01 
       1.432545514106e+00       2.804007851044e+01 
       1.474377470670e+00       2.617141961547e+01 
       1.517430592368e+00       2.442384005783e+01 
       1.561740671202e+00       2.278888332906e+01 
       1.607344496717e+00       2.126007293726e+01 
       1.654279900744e+00       1.983063643831e+01 
       1.702585798905e+00       1.849436718048e+01 
       1.752302229880e+00       1.724536300532e+01 
       1.803470393277e+00       1.607808260057e+01 
       1.856132686815e+00       1.498745241839e+01 
       1.910332743368e+00       1.396842006152e+01 
       1.966115468279e+00       1.301654516385e+01 
       2.023527077257e+00       1.212762485801e+01 
       2.082615135053e+00       1.129742886969e+01 
       2.143428595091e+00       1.052238495872e+01 
       2.206017840135e+00       9.798725480047e+00 
       2.270434724093e+00       9.123358609196e+00 
       2.336732615008e+00       8.492925670399e+00 
       2.404966439282e+00       7.904619037374e+00 
       2.475192727195e+00       7.355742759695e+00 
       2.547469659738e+00       6.843629849365e+00 
       2.621857116814e+00       6.365985462519e+00 
       2.698416726854e+00       5.920433168366e+00 
       2.777211917868e+00       5.504950797696e+00 
       2.858307970001e+00       5.117526279921e+00 
       2.941772069609e+00       4.756265984955e+00 
       3.027673364927e+00       4.419511892228e+00 
