# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_dmeff          13:T_dmeff               14:Vrel_dmeff            15:dkappa_dmeff          16:dkappaT_dmeff         17:cdmeff2               18:(.)rho_lambda         19:(.)rho_ur             20:(.)rho_crit           21:(.)rho_tot            22:(.)p_tot              23:(.)p_tot_prime        24:gr.fac. D             25:gr.fac. f          
       8.071773915456e+08       1.160260744037e-15       5.742867779190e-04       1.405531635867e+12       1.415848737546e+04       1.754073826424e-05       1.142841092211e+13       3.315645538047e-04       1.168032778531e+24       1.347595341805e+18       5.851477819387e+04       6.852665674284e+18       2.199960875311e+09       0.000000000000e+00       3.003551567473e+08       1.549175271405e+08       3.103001921388e-04       3.892252110638e-08       8.074782006299e+23       1.975519179422e+24       1.975519179422e+24       6.585036597202e+23      -4.586588943735e+27       1.372210441712e-04       8.179044620509e-02 
       7.985475220600e+08       1.185474011270e-15       5.804930642626e-04       1.375638080433e+12       1.415848736925e+04       1.773030027693e-05       1.130622501899e+13       3.351477534407e-04       1.118876467112e+24       1.304832702974e+18       5.665795497065e+04       6.635213106613e+18       2.176440177825e+09       0.000000000000e+00       2.892652825967e+08       1.491975791352e+08       3.071309566065e-04       3.892252110638e-08       7.734957211795e+23       1.892380128337e+24       1.892380128337e+24       6.307907294305e+23      -4.346590393837e+27       1.373416840046e-04       8.171866756224e-02 
       7.900099181012e+08       1.211235180996e-15       5.867664222023e-04       1.346380316534e+12       1.415848736298e+04       1.792191087814e-05       1.118534545622e+13       3.387696764703e-04       1.071788884411e+24       1.263427031790e+18       5.486005348634e+04       6.424660863785e+18       2.153170949878e+09       0.000000000000e+00       2.785848747233e+08       1.436888261159e+08       3.039899941554e-04       3.892252110638e-08       7.409433842502e+23       1.812739956749e+24       1.812739956749e+24       6.042440895538e+23      -4.119150045522e+27       1.374623239353e-04       8.164701561795e-02 
       7.815635932200e+08       1.237556157230e-15       5.931075738772e-04       1.317744821823e+12       1.415848735664e+04       1.811559220689e-05       1.106575826717e+13       3.424307413629e-04       1.026682968597e+24       1.223335268207e+18       5.311920400380e+04       6.220789980884e+18       2.130150502971e+09       0.000000000000e+00       2.682988145998e+08       1.383834702312e+08       3.008775297835e-04       3.892252110638e-08       7.097610027202e+23       1.736451415442e+24       1.736451415442e+24       5.788146571056e+23      -3.903610776332e+27       1.375829639642e-04       8.157549004451e-02 
       7.732075715138e+08       1.264449107231e-15       5.995172559778e-04       1.289718361557e+12       1.415848735023e+04       1.831136664143e-05       1.094744963454e+13       3.461313711312e-04       9.834753218080e+23       1.184515718584e+18       5.143359611743e+04       6.023388441312e+18       2.107376177218e+09       0.000000000000e+00       2.583925419012e+08       1.332740015400e+08       2.977931417195e-04       3.892252110638e-08       6.798909224247e+23       1.663373452137e+24       1.663373452137e+24       5.544554147442e+23      -3.699349848504e+27       1.377036040926e-04       8.150409052097e-02 
       7.649408875138e+08       1.291926459555e-15       6.059962070140e-04       1.262287982473e+12       1.415848734375e+04       1.850925680186e-05       1.083040588874e+13       3.498719933452e-04       9.420860559588e+23       1.146928012326e+18       4.980147687043e+04       5.832250956296e+18       2.084845341256e+09       0.000000000000e+00       2.488520339147e+08       1.283531873914e+08       2.947368270798e-04       3.892252110638e-08       6.512779155574e+23       1.593370950695e+24       1.593370950695e+24       5.311213238387e+23      -3.505777109754e+27       1.378242443216e-04       8.143281672402e-02 
       7.567625860734e+08       1.320000912020e-15       6.125451745902e-04       1.235441006806e+12       1.415848733720e+04       1.870928555276e-05       1.071461350634e+13       3.536530401920e-04       9.024386450291e+23       1.110533059899e+18       4.822114893179e+04       5.647178751402e+18       2.062555391879e+09       0.000000000000e+00       2.396637856831e+08       1.236140621830e+08       2.917086560171e-04       3.892252110638e-08       6.238690785576e+23       1.526314481298e+24       1.526314481298e+24       5.087692411956e+23      -3.322333288201e+27       1.379448846524e-04       8.136166833052e-02 
       7.486717222579e+08       1.348685443261e-15       6.191649172251e-04       1.209165026430e+12       1.415848733058e+04       1.891147600575e-05       1.060005910851e+13       3.574749485509e-04       8.644597835737e+23       1.075293012181e+18       4.669096883113e+04       5.467979359814e+18       2.040503753584e+09       0.000000000000e+00       2.308147908758e+08       1.190499174949e+08       2.887081331879e-04       3.892252110638e-08       5.976137342953e+23       1.462080061141e+24       1.462080061141e+24       4.873578392897e+23      -3.148488376514e+27       1.380655250861e-04       8.129064502418e-02 
       7.406673612352e+08       1.377993308289e-15       6.258561988943e-04       1.183447897119e+12       1.415848732389e+04       1.911585152228e-05       1.048672945942e+13       3.613381599976e-04       8.280792511852e+23       1.041171221098e+18       4.520934524961e+04       5.294466422181e+18       2.018687878550e+09       0.000000000000e+00       2.222925234010e+08       1.146542926049e+08       2.857353944606e-04       3.892252110638e-08       5.724633383724e+23       1.400548925195e+24       1.400548925195e+24       4.668475298525e+23      -2.983740100613e+27       1.381861656241e-04       8.121974648360e-02 
       7.327485781680e+08       1.407938052320e-15       6.326197926683e-04       1.158277732938e+12       1.415848731712e+04       1.932243571622e-05       1.037461146479e+13       3.652431208894e-04       7.932297826611e+23       1.008132201515e+18       4.377473736495e+04       5.126459492810e+18       1.997105246137e+09       0.000000000000e+00       2.140849196572e+08       1.104209653350e+08       2.827903216592e-04       3.892252110638e-08       5.483713893672e+23       1.341607306620e+24       1.341607306620e+24       4.472003906761e+23      -2.827612468492e+27       1.383068062674e-04       8.114897239093e-02 
