# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       9.296045513138e-01       1.324377313830e+03       1.324376861308e+03       9.421846821106e+02       9.011142587092e-03       8.996069562387e-03       0.000000000000e+00       1.225006824110e+03 
       9.569285286887e-01       1.263194656229e+03       1.263194194281e+03       8.986682612737e+02       8.111061697440e-03       8.097494245329e-03       0.000000000000e+00       1.168416367051e+03 
       9.850128856144e-01       1.204816448709e+03       1.204815977102e+03       8.571455921001e+02       7.301384471456e-03       7.289171373410e-03       0.000000000000e+00       1.114419719081e+03 
       1.013885996264e+00       1.149102270199e+03       1.149101788696e+03       8.175175361080e+02       6.572797100258e-03       6.561802713131e-03       0.000000000000e+00       1.062887116090e+03 
       1.043576501166e+00       1.095919778027e+03       1.095919286385e+03       7.796911368139e+02       5.917001042236e-03       5.907103605113e-03       0.000000000000e+00       1.013696335655e+03 
       1.074113242636e+00       1.045139422798e+03       1.045138920770e+03       7.435711950255e+02       5.326563867581e-03       5.317654059810e-03       0.000000000000e+00       9.667270640917e+02 
       1.105525239893e+00       9.966490898633e+02       9.966485771979e+02       7.090781706210e+02       4.794899772158e-03       4.786879288096e-03       0.000000000000e+00       9.218756338513e+02 
       1.137841698987e+00       9.503589428649e+02       9.503584193056e+02       6.761520945182e+02       4.316185596946e-03       4.308965861072e-03       0.000000000000e+00       8.790595780276e+02 
       1.171092051193e+00       9.061615005171e+02       9.061609658031e+02       6.447143496653e+02       3.885090981646e-03       3.878592339873e-03       0.000000000000e+00       8.381791361238e+02 
       1.205306012881e+00       8.639501683018e+02       8.639496221673e+02       6.146859159475e+02       3.496818331667e-03       3.490969161286e-03       0.000000000000e+00       7.991352029035e+02 
       1.240513659927e+00       8.236547492677e+02       8.236541914423e+02       5.860227895108e+02       3.147186861450e-03       3.141922520589e-03       0.000000000000e+00       7.618637954320e+02 
