# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       3.283863408632e-05       1.616159575489e-07       1.616333807213e-07       1.616333965268e-07       1.616333964270e-07       1.616147925418e-07       1.616327082199e-07 
       3.379753951399e-05       1.711911837240e-07       1.712107300575e-07       1.712107477720e-07       1.712107476601e-07       1.711898766984e-07       1.712099755916e-07 
       3.478444548567e-05       1.813336407230e-07       1.813555692531e-07       1.813555891099e-07       1.813555889843e-07       1.813321743499e-07       1.813547228228e-07 
       3.580016963202e-05       1.920769228910e-07       1.921015238534e-07       1.921015461124e-07       1.921015459715e-07       1.920752777380e-07       1.921005742532e-07 
       3.684555345892e-05       2.034566096705e-07       2.034842109951e-07       2.034842359588e-07       2.034842358007e-07       2.034547638637e-07       2.034831455723e-07 
       3.792146304469e-05       2.155103939286e-07       2.155413599152e-07       2.155413879059e-07       2.155413877286e-07       2.155083230333e-07       2.155401646008e-07 
       3.902878975758e-05       2.282781925494e-07       2.283129338134e-07       2.283129651996e-07       2.283129650006e-07       2.282758691110e-07       2.283115927552e-07 
       4.016845099426e-05       2.418022865515e-07       2.418412641844e-07       2.418412993804e-07       2.418412991571e-07       2.417996797600e-07       2.418397595823e-07 
       4.134139093988e-05       2.561274611926e-07       2.561711912346e-07       2.561712307031e-07       2.561712304527e-07       2.561245364904e-07       2.561695031653e-07 
       4.254858135027e-05       2.713011478992e-07       2.713502111233e-07       2.713502553901e-07       2.713502551091e-07       2.712978664768e-07       2.713483171695e-07 
       4.379102235708e-05       2.873735903877e-07       2.874286355675e-07       2.874286852085e-07       2.874286848931e-07       2.873699087839e-07       2.874265106763e-07 
       4.506974329629e-05       3.043980003891e-07       3.044597562890e-07       3.044598119454e-07       3.044598115916e-07       3.043938698375e-07       3.044573723149e-07 
       4.638580356106e-05       3.224307350396e-07       3.225000219542e-07       3.225000843836e-07       3.225000839866e-07       3.224261006776e-07       3.224973472461e-07 
       4.774029347938e-05       3.415314581542e-07       3.416092203383e-07       3.416092902997e-07       3.416092898543e-07       3.415262579804e-07       3.416062183892e-07 
       4.913433521739e-05       3.617634567133e-07       3.618507012004e-07       3.618507799350e-07       3.618507794353e-07       3.617576215339e-07       3.618473333749e-07 
       5.056908370909e-05       3.831936642334e-07       3.832915487212e-07       3.832916370345e-07       3.832916364738e-07       3.831871173373e-07       3.832877701485e-07 
       5.204572761313e-05       4.058930038183e-07       4.060028271846e-07       4.060029262367e-07       4.060029256076e-07       4.058856584092e-07       4.059985877167e-07 
       5.356549029765e-05       4.299365924699e-07       4.300598120636e-07       4.300599231765e-07       4.300599224707e-07       4.299283510751e-07       4.300550554493e-07 
       5.512963085377e-05       4.554039870916e-07       4.555422386211e-07       4.555423632713e-07       4.555423624794e-07       4.553947403752e-07       4.555369017197e-07 
       5.673944513873e-05       4.823795057146e-07       4.825345799245e-07       4.825347194481e-07       4.825347185596e-07       4.823691331658e-07       4.825285933724e-07 
       5.839626684951e-05       5.109522856941e-07       5.111262764167e-07       5.111264329570e-07       5.111264319601e-07       5.109406478247e-07       5.111195596004e-07 
       6.010146862770e-05       5.412168908586e-07       5.414121044243e-07       5.414122800287e-07       5.414122789101e-07       5.412038334280e-07       5.414045682873e-07 
       6.185646319679e-05       5.732734159040e-07       5.734924425349e-07       5.734926395331e-07       5.734926382781e-07       5.732587657335e-07       5.734839870838e-07 
       6.366270453251e-05       6.072278059571e-07       6.074736027686e-07       6.074738241384e-07       6.074738227302e-07       6.072113662107e-07       6.074641141159e-07 
       6.552168906749e-05       6.431924644096e-07       6.434682414395e-07       6.434684897591e-07       6.434684881791e-07       6.431740195417e-07       6.434575954011e-07 
       6.743495693093e-05       6.812862270874e-07       6.815956428811e-07       6.815959214370e-07       6.815959196642e-07       6.812655325270e-07       6.815836982188e-07 
       6.940409322464e-05       7.216350188710e-07       7.219821756943e-07       7.219824881824e-07       7.219824861934e-07       7.216118002225e-07       7.219687740465e-07 
       7.143072933625e-05       7.643721843679e-07       7.647616923570e-07       7.647620429202e-07       7.647620406885e-07       7.643461336579e-07       7.647466557542e-07 
       7.351654429076e-05       8.096389652153e-07       8.100759820696e-07       8.100763753248e-07       8.100763728208e-07       8.096097372613e-07       8.100591113796e-07 
       7.566326614156e-05       8.575849042467e-07       8.580752266074e-07       8.580756682452e-07       8.580756654357e-07       8.575521100856e-07       8.580562984166e-07 
       7.787267340214e-05       9.083683795332e-07       9.089185124374e-07       9.089190073200e-07       9.089190041677e-07       9.083315873649e-07       9.088972748783e-07 
       8.014659651953e-05       9.621571072513e-07       9.627743454910e-07       9.627749006635e-07       9.627748971266e-07       9.621158278463e-07       9.627505173192e-07 
       8.248691939074e-05       1.019128687375e-06       1.019821217975e-06       1.019821840793e-06       1.019821836825e-06       1.019082373499e-06       1.019794483133e-06 
       8.489558092359e-05       1.079471187764e-06       1.080248196453e-06       1.080248895172e-06       1.080248890719e-06       1.079419225412e-06       1.080218200329e-06 
       8.737457664304e-05       1.143383755345e-06       1.144255548525e-06       1.144256332349e-06       1.144256327353e-06       1.143325455845e-06       1.144221893202e-06 
       8.992596034440e-05       1.211077265314e-06       1.212055406123e-06       1.212056285499e-06       1.212056279893e-06       1.211011855600e-06       1.212017645254e-06 
       9.255184579492e-05       1.282775001309e-06       1.283872466272e-06       1.283873453667e-06       1.283873447378e-06       1.282701612095e-06       1.283830099522e-06 
       9.525440848495e-05       1.358713397022e-06       1.359944745490e-06       1.359945852525e-06       1.359945845468e-06       1.358631059798e-06       1.359897209697e-06 
       9.803588743031e-05       1.439142808248e-06       1.440524356064e-06       1.440525598036e-06       1.440525590118e-06       1.439050430254e-06       1.440471021839e-06 
       1.008985870272e-04       1.524328256625e-06       1.525878338539e-06       1.525879731970e-06       1.525879723086e-06       1.524224613260e-06       1.525818498127e-06 
       1.038448789616e-04       1.614550395739e-06       1.616289564775e-06       1.616291128068e-06       1.616291118101e-06       1.614434113842e-06       1.616222424693e-06 
       1.068772041737e-04       1.710106497982e-06       1.712057694183e-06       1.712059447168e-06       1.712059435984e-06       1.709976043220e-06       1.711982368192e-06 
       1.099980748807e-04       1.811310825164e-06       1.813500032332e-06       1.813501999099e-06       1.813501986550e-06       1.811164463178e-06       1.813415517972e-06 
       1.132100766576e-04       1.918496503649e-06       1.920952777771e-06       1.920954984456e-06       1.920954970376e-06       1.918332294827e-06       1.920857953408e-06 
       1.165158705797e-04       2.032016137950e-06       2.034772031515e-06       2.034774507306e-06       2.034774491509e-06       2.031831907517e-06       2.034665640440e-06 
       1.199181954271e-04       2.152242911763e-06       2.155334969037e-06       2.155337746751e-06       2.155337729026e-06       2.152036219476e-06       2.155215600492e-06 
       1.234198699538e-04       2.279571878684e-06       2.283041110916e-06       2.283044227432e-06       2.283044207544e-06       2.279339986661e-06       2.282907181753e-06 
       1.270237952227e-04       2.414421233113e-06       2.418313647287e-06       2.418317143939e-06       2.418317121625e-06       2.414161070267e-06       2.418163381481e-06 
       1.307329570095e-04       2.557233631944e-06       2.561600836349e-06       2.561604759476e-06       2.561604734439e-06       2.556941753362e-06       2.561432241628e-06 
       1.345504282758e-04       2.708477559569e-06       2.713377477698e-06       2.713381879475e-06       2.713381851383e-06       2.708150099930e-06       2.713188318147e-06 
       1.384793717157e-04       2.868648838152e-06       2.874146490376e-06       2.874151429427e-06       2.874151397907e-06       2.868281460327e-06       2.873934256210e-06 
       1.425230423754e-04       3.038272369570e-06       3.044440615680e-06       3.044446157401e-06       3.044446122035e-06       3.037860211452e-06       3.044202494237e-06 
       1.466847903501e-04       3.217903579969e-06       3.224824132327e-06       3.224830349840e-06       3.224830310159e-06       3.217441189100e-06       3.224556969035e-06 
       1.509680635597e-04       3.408130010679e-06       3.415894688632e-06       3.415901664399e-06       3.415901619876e-06       3.407611266799e-06       3.415594939074e-06 
       1.553764106052e-04       3.609573629833e-06       3.618285386111e-06       3.618293211893e-06       3.618293161937e-06       3.608991671306e-06       3.617949075543e-06 
       1.599134837084e-04       3.822892537394e-06       3.832666812493e-06       3.832675594741e-06       3.832675538690e-06       3.822239659047e-06       3.832289486738e-06 
       1.645830417382e-04       4.048782841644e-06       4.059749243897e-06       4.059759096551e-06       4.059759033661e-06       4.048050414639e-06       4.059325897985e-06 
       1.693889533242e-04       4.287981213041e-06       4.300285046428e-06       4.300296103763e-06       4.300296033200e-06       4.287159542319e-06       4.299810074206e-06 
       1.743352000622e-04       4.541266759042e-06       4.555071117408e-06       4.555083523392e-06       4.555083444218e-06       4.540344988659e-06       4.554538221337e-06 
       1.794258798126e-04       4.809464100574e-06       4.824951642404e-06       4.824965555576e-06       4.824965466742e-06       4.808430071093e-06       4.824353767305e-06 
       1.846652100954e-04       5.093443943294e-06       5.110820439006e-06       5.110836050850e-06       5.110835951178e-06       5.092283955469e-06       5.110149647345e-06 
       1.900575315847e-04       5.394129724578e-06       5.413624841602e-06       5.413642359218e-06       5.413642247383e-06       5.392828469109e-06       5.412872268394e-06 
       1.956073117042e-04       5.712494817529e-06       5.734367570498e-06       5.734387226421e-06       5.734387100941e-06       5.711035085603e-06       5.733523218054e-06 
       2.013191483291e-04       6.049571564297e-06       6.074111384656e-06       6.074133440038e-06       6.074133299248e-06       6.047934088377e-06       6.073164081680e-06 
       2.071977735946e-04       6.406449940629e-06       6.433981651947e-06       6.434006387724e-06       6.434006229754e-06       6.404613145505e-06       6.432918852093e-06 
       2.132480578171e-04       6.784281533250e-06       6.815170135497e-06       6.815197895658e-06       6.815197718413e-06       6.782221122875e-06       6.813977762539e-06 
       2.194750135285e-04       7.184284873921e-06       7.218939506217e-06       7.218970653489e-06       7.218970454617e-06       7.181973681795e-06       7.217601764387e-06 
       2.258837996296e-04       7.607747361777e-06       7.646627040216e-06       7.646661975341e-06       7.646661752204e-06       7.605154939313e-06       7.645126203608e-06 
       2.324797256634e-04       8.056029674352e-06       8.099649125345e-06       8.099688339270e-06       8.099688088906e-06       8.053121767177e-06       8.097965348360e-06 
       2.392682562148e-04       8.530569196100e-06       8.579506050836e-06       8.579550048772e-06       8.579549767859e-06       8.527307522012e-06       8.577617028267e-06 
       2.462550154372e-04       9.032884503085e-06       9.087786795679e-06       9.087836162371e-06       9.087835847181e-06       9.029226086236e-06       9.085667517714e-06 
       2.534457917122e-04       9.564580198655e-06       9.626174521849e-06       9.626229910794e-06       9.626229557146e-06       9.560476874058e-06       9.623796945442e-06 
       2.608465424454e-04       1.012735024397e-05       1.019645183326e-05       1.019651397902e-05       1.019651358222e-05       1.012274800436e-05       1.019378449578e-05 
       2.684633990017e-04       1.072298359172e-05       1.080050686837e-05       1.080057659493e-05       1.080057614971e-05       1.071782189394e-05       1.079751447988e-05 
       2.763026717849e-04       1.135336870808e-05       1.144033941325e-05       1.144041766041e-05       1.144041716087e-05       1.134757963969e-05       1.143698240016e-05 
       2.843708554663e-04       1.202049888100e-05       1.211806766354e-05       1.211815543969e-05       1.211815487920e-05       1.201400644411e-05       1.211430159929e-05 
       2.926746343646e-04       1.272647769602e-05       1.283593503352e-05       1.283603349225e-05       1.283603286337e-05       1.271919665060e-05       1.283171011089e-05 
       3.012208879845e-04       1.347352397541e-05       1.359631744234e-05       1.359642793982e-05       1.359642723421e-05       1.346535860578e-05       1.359157783921e-05 
       3.100166967156e-04       1.426397850722e-05       1.440173170815e-05       1.440185566624e-05       1.440185487453e-05       1.425482182618e-05       1.439641474023e-05 
       3.190693476988e-04       1.510030947567e-05       1.525484314404e-05       1.525498224085e-05       1.525498135253e-05       1.509004136059e-05       1.524887858122e-05 
       3.283863408632e-04       1.598511817201e-05       1.615847475367e-05       1.615863081807e-05       1.615862982136e-05       1.597360416042e-05       1.615178377530e-05 
       3.379753951399e-04       1.692114647832e-05       1.711561639915e-05       1.711579151701e-05       1.711579039869e-05       1.690823582197e-05       1.710811064342e-05 
       3.478444548567e-04       1.791128262052e-05       1.812943470352e-05       1.812963118945e-05       1.812962993467e-05       1.789680649386e-05       1.812101505234e-05 
       3.580016963202e-04       1.895856771752e-05       1.920328329020e-05       1.920350372534e-05       1.920350231745e-05       1.894233702338e-05       1.919383855959e-05 
       3.684555345892e-04       2.006620457877e-05       2.034071414132e-05       2.034096147234e-05       2.034095989266e-05       2.004800736809e-05       2.033011971689e-05 
       3.792146304469e-04       2.123756233962e-05       2.154548898259e-05       2.154576646676e-05       2.154576469434e-05       2.121716134869e-05       2.153360507485e-05 
       3.902878975758e-04       2.247618522066e-05       2.282159167475e-05       2.282190300591e-05       2.282190101722e-05       2.245331461673e-05       2.280826156826e-05 
       4.016845099426e-04       2.378579906093e-05       2.417324132392e-05       2.417359064524e-05       2.417358841389e-05       2.376016115224e-05       2.415828928327e-05 
       4.134139093988e-04       2.517031967037e-05       2.560490632000e-05       2.560529824131e-05       2.560529573770e-05       2.514158124498e-05       2.558813527586e-05 
       4.254858135027e-04       2.663386002842e-05       2.712131879564e-05       2.712175850253e-05       2.712175569343e-05       2.660164801205e-05       2.710250781607e-05 
       4.379102235708e-04       2.818073669863e-05       2.872748987933e-05       2.872798325390e-05       2.872798010204e-05       2.814463328403e-05       2.870639130379e-05 
       4.506974329629e-04       2.981547904898e-05       3.042872692725e-05       3.042928044582e-05       3.042927690937e-05       2.977501695736e-05       3.040506301676e-05 
       4.638580356106e-04       3.154283525249e-05       3.223064987984e-05       3.223127092768e-05       3.223126695972e-05       3.149749123745e-05       3.220410937837e-05 
       4.774029347938e-04       3.336777862272e-05       3.413921016534e-05       3.413990696264e-05       3.413990251052e-05       3.331696738879e-05       3.410944407412e-05 
