# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.553764106052e-03       2.788363778224e-04       3.594526320979e-04       3.595292492310e-04       3.595290448761e-04       2.743914929961e-04       3.563589016122e-04 
       1.599134837084e-03       2.905816654052e-04       3.806069860563e-04       3.806927761251e-04       3.806925733781e-04       2.856821409751e-04       3.771533889007e-04 
       1.645830417382e-03       3.024899506671e-04       4.029973806254e-04       4.030934396616e-04       4.030932384910e-04       2.970944585807e-04       3.991430820598e-04 
       1.693889533242e-03       3.145148763976e-04       4.266949648978e-04       4.268025235712e-04       4.268023239449e-04       3.085794285219e-04       4.223946996143e-04 
       1.743352000622e-03       3.266021127043e-04       4.517748546708e-04       4.518952973576e-04       4.518950992429e-04       3.200801282177e-04       4.469784862697e-04 
       1.794258798126e-03       3.386884895320e-04       4.783163597812e-04       4.784512262840e-04       4.784510296479e-04       3.315309644378e-04       4.729683860118e-04 
       1.846652100954e-03       3.507011567493e-04       5.064031551500e-04       5.065541824780e-04       5.065539872873e-04       3.428568635029e-04       5.004422071382e-04 
       1.900575315847e-03       3.625565884007e-04       5.361235568631e-04       5.362926758585e-04       5.362924820799e-04       3.539724546259e-04       5.294818161900e-04 
       1.956073117042e-03       3.741596894244e-04       5.675707023677e-04       5.677600878938e-04       5.677598954940e-04       3.647812385386e-04       5.601733210951e-04 
       2.013191483291e-03       3.854027397006e-04       6.008428414420e-04       6.010549205178e-04       6.010547294636e-04       3.751747532714e-04       5.926072802783e-04 
       2.071977735946e-03       3.961644227917e-04       6.360435503937e-04       6.362810488574e-04       6.362808591158e-04       3.850317501751e-04       6.268789047801e-04 
       2.132480578171e-03       4.063087829615e-04       6.732820334264e-04       6.735479926066e-04       6.735478041451e-04       3.942174231235e-04       6.630882883506e-04 
       2.194750135285e-03       4.156842398140e-04       7.126733553115e-04       7.129711825304e-04       7.129709953165e-04       4.025826578350e-04       7.013406243932e-04 
       2.258837996296e-03       4.241226421721e-04       7.543387210097e-04       7.546722474300e-04       7.546720614317e-04       4.099634040755e-04       7.417464495875e-04 
       2.324797256634e-03       4.314383617553e-04       7.984058299972e-04       7.987793216222e-04       7.987791368080e-04       4.161802014800e-04       7.844219191125e-04 
       2.392682562148e-03       4.374275634673e-04       8.450090796872e-04       8.454273312436e-04       8.454271475824e-04       4.210377915376e-04       8.294890463492e-04 
       2.462550154372e-03       4.418675459865e-04       8.942899767181e-04       8.947583276759e-04       8.947581451372e-04       4.243250498646e-04       8.770760199111e-04 
