# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 288.436 h/Mpc,
# number of wavenumbers equal to 1038
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.392788218531e-03       2.412871494476e+05       2.412853872402e+05       2.411265153492e+05       2.963922649681e+05       2.936135872972e+05       0.000000000000e+00       2.428240258315e+05 
       1.414333248944e-03       2.412498567123e+05       2.412481404899e+05       2.410841897746e+05       2.955845498166e+05       2.927272164209e+05       0.000000000000e+00       2.427627022344e+05 
       1.436211559270e-03       2.412114292925e+05       2.412097579386e+05       2.410405748834e+05       2.947536598192e+05       2.918157465417e+05       0.000000000000e+00       2.426995567080e+05 
       1.458428305012e-03       2.411718332053e+05       2.411702056241e+05       2.409956318796e+05       2.938989939220e+05       2.908785495660e+05       0.000000000000e+00       2.426345377630e+05 
       1.480988721427e-03       2.411310335141e+05       2.411294486307e+05       2.409493208447e+05       2.930199397066e+05       2.899149869550e+05       0.000000000000e+00       2.425675926387e+05 
       1.503898124752e-03       2.410889943002e+05       2.410874510606e+05       2.409016007222e+05       2.921158734261e+05       2.889244099101e+05       0.000000000000e+00       2.424986672803e+05 
       1.527161913464e-03       2.410456786518e+05       2.410441760230e+05       2.408524293271e+05       2.911861600841e+05       2.879061596163e+05       0.000000000000e+00       2.424277063363e+05 
       1.550785569547e-03       2.410010486381e+05       2.409995856079e+05       2.408017632894e+05       2.902301535864e+05       2.868595675098e+05       0.000000000000e+00       2.423546531331e+05 
       1.574774659788e-03       2.409550652730e+05       2.409536408503e+05       2.407495580194e+05       2.892471968790e+05       2.857839555703e+05       0.000000000000e+00       2.422794496471e+05 
       1.599134837084e-03       2.409076884992e+05       2.409063017133e+05       2.406957676848e+05       2.882366221355e+05       2.846786366787e+05       0.000000000000e+00       2.422020364947e+05 
       1.623871841779e-03       2.408588771545e+05       2.408575270556e+05       2.406403451815e+05       2.871977509589e+05       2.835429150068e+05       0.000000000000e+00       2.421223529085e+05 
       1.648991503011e-03       2.408085889603e+05       2.408072746191e+05       2.405832421008e+05       2.861298946713e+05       2.823760864651e+05       0.000000000000e+00       2.420403367334e+05 
       1.674499740094e-03       2.407567804762e+05       2.407555009836e+05       2.405244086970e+05       2.850323545564e+05       2.811774391672e+05       0.000000000000e+00       2.419559243939e+05 
       1.700402563902e-03       2.407034070871e+05       2.407021615542e+05       2.404637938569e+05       2.839044222359e+05       2.799462539795e+05       0.000000000000e+00       2.418690508917e+05 
       1.726706078297e-03       2.406484229814e+05       2.406472105393e+05       2.404013450728e+05       2.827453800561e+05       2.786818051127e+05       0.000000000000e+00       2.417796497975e+05 
       1.753416481556e-03       2.405917811119e+05       2.405906009113e+05       2.403370084019e+05       2.815545014741e+05       2.773833607753e+05       0.000000000000e+00       2.416876532271e+05 
       1.780540067841e-03       2.405334331767e+05       2.405322843876e+05       2.402707284352e+05       2.803310515766e+05       2.760501838865e+05       0.000000000000e+00       2.415929918382e+05 
       1.808083228677e-03       2.404733295892e+05       2.404722114010e+05       2.402024482851e+05       2.790742875550e+05       2.746815328687e+05       0.000000000000e+00       2.414955948218e+05 
       1.836052454460e-03       2.404114194502e+05       2.404103310712e+05       2.401321095022e+05       2.777834593645e+05       2.732766624874e+05       0.000000000000e+00       2.413953898875e+05 
       1.864454335985e-03       2.403476505183e+05       2.403465911752e+05       2.400596520873e+05       2.764578103007e+05       2.718348247849e+05       0.000000000000e+00       2.412923032621e+05 
       1.893295566000e-03       2.402819691901e+05       2.402809381282e+05       2.399850144542e+05       2.750965777387e+05       2.703552700817e+05       0.000000000000e+00       2.411862596926e+05 
       1.922582940784e-03       2.402143204675e+05       2.402133169499e+05       2.399081333579e+05       2.736989939320e+05       2.688372480673e+05       0.000000000000e+00       2.410771824341e+05 
       1.952323361747e-03       2.401446479202e+05       2.401436712277e+05       2.398289438983e+05       2.722642867977e+05       2.672800089493e+05       0.000000000000e+00       2.409649932481e+05 
       1.982523837057e-03       2.400728936776e+05       2.400719431086e+05       2.397473794715e+05       2.707916808987e+05       2.656828047280e+05       0.000000000000e+00       2.408496124191e+05 
       2.013191483291e-03       2.399989983846e+05       2.399980732546e+05       2.396633717226e+05       2.692803984262e+05       2.640448905575e+05       0.000000000000e+00       2.407309587450e+05 
       2.044333527112e-03       2.399229011799e+05       2.399220008209e+05       2.395768505387e+05       2.677296602476e+05       2.623655261635e+05       0.000000000000e+00       2.406089495523e+05 
       2.075957306974e-03       2.398445396747e+05       2.398436634355e+05       2.394877439916e+05       2.661386871305e+05       2.606439774237e+05       0.000000000000e+00       2.404835007103e+05 
       2.108070274847e-03       2.397638499122e+05       2.397629971575e+05       2.393959782949e+05       2.645067009832e+05       2.588795180279e+05       0.000000000000e+00       2.403545266316e+05 
       2.140679997977e-03       2.396807663582e+05       2.396799364686e+05       2.393014778067e+05       2.628329262107e+05       2.570714312262e+05       0.000000000000e+00       2.402219403095e+05 
       2.173794160667e-03       2.395952218532e+05       2.395944142248e+05       2.392041649502e+05       2.611165911524e+05       2.552190117272e+05       0.000000000000e+00       2.400856533129e+05 
       2.207420566089e-03       2.395071476103e+05       2.395063616543e+05       2.391039602089e+05       2.593569297046e+05       2.533215677102e+05       0.000000000000e+00       2.399455758362e+05 
       2.241567138123e-03       2.394164731665e+05       2.394157083092e+05       2.390007820975e+05       2.575531829078e+05       2.513784229375e+05       0.000000000000e+00       2.398016167071e+05 
       2.276241923221e-03       2.393231263745e+05       2.393223820564e+05       2.388945470757e+05       2.557046008471e+05       2.493889190333e+05       0.000000000000e+00       2.396536834256e+05 
       2.311453092307e-03       2.392270333773e+05       2.392263090534e+05       2.387851695900e+05       2.538104444597e+05       2.473524178379e+05       0.000000000000e+00       2.395016822092e+05 
       2.347208942701e-03       2.391281185739e+05       2.391274137129e+05       2.386725620025e+05       2.518699876002e+05       2.452683039841e+05       0.000000000000e+00       2.393455180195e+05 
       2.383517900075e-03       2.390263046098e+05       2.390256186942e+05       2.385566345215e+05       2.498825192681e+05       2.431359875079e+05       0.000000000000e+00       2.391850946129e+05 
       2.420388520435e-03       2.389215123436e+05       2.389208448690e+05       2.384372952808e+05       2.478473457425e+05       2.409549067080e+05       0.000000000000e+00       2.390203145960e+05 
       2.457829492143e-03       2.388136608331e+05       2.388130113082e+05       2.383144501527e+05       2.457637932219e+05       2.387245310746e+05       0.000000000000e+00       2.388510794651e+05 
       2.495849637959e-03       2.387026673263e+05       2.387020352726e+05       2.381880028760e+05       2.436312102381e+05       2.364443643889e+05       0.000000000000e+00       2.386772896968e+05 
       2.534457917122e-03       2.385884472149e+05       2.385878321661e+05       2.380578548940e+05       2.414489704679e+05       2.341139480134e+05       0.000000000000e+00       2.384988447722e+05 
       2.573663427464e-03       2.384709140475e+05       2.384703155495e+05       2.379239054432e+05       2.392164755389e+05       2.317328642687e+05       0.000000000000e+00       2.383156432895e+05 
       2.613475407549e-03       2.383499795053e+05       2.383493971158e+05       2.377860514364e+05       2.369331581464e+05       2.293007400284e+05       0.000000000000e+00       2.381275830216e+05 
       2.653903238852e-03       2.382255533834e+05       2.382249866717e+05       2.376441875091e+05       2.345984851473e+05       2.268172504225e+05       0.000000000000e+00       2.379345610057e+05 
       2.694956447972e-03       2.380975435812e+05       2.380969921277e+05       2.374982058989e+05       2.322119610379e+05       2.242821227432e+05       0.000000000000e+00       2.377364736215e+05 
       2.736644708873e-03       2.379658560913e+05       2.379653194877e+05       2.373479965563e+05       2.297731312857e+05       2.216951404671e+05       0.000000000000e+00       2.375332167052e+05 
       2.778977845167e-03       2.378303950089e+05       2.378298728572e+05       2.371934470306e+05       2.272815861979e+05       2.190561474374e+05       0.000000000000e+00       2.373246856541e+05 
       2.821965832426e-03       2.376910625040e+05       2.376905544171e+05       2.370344424515e+05       2.247369646809e+05       2.163650522290e+05       0.000000000000e+00       2.371107755182e+05 
       2.865618800534e-03       2.375477588284e+05       2.375472644291e+05       2.368708655827e+05       2.221389582477e+05       2.136218326354e+05       0.000000000000e+00       2.368913811354e+05 
       2.909947036075e-03       2.374003823283e+05       2.373999012495e+05       2.367025967450e+05       2.194873152771e+05       2.108265402880e+05       0.000000000000e+00       2.366663972573e+05 
       2.954960984757e-03       2.372488294320e+05       2.372483613162e+05       2.365295138428e+05       2.167818453111e+05       2.079793054461e+05       0.000000000000e+00       2.364357186742e+05 
       3.000671253870e-03       2.370929946516e+05       2.370925391508e+05       2.363514923465e+05       2.140224236148e+05       2.050803419044e+05       0.000000000000e+00       2.361992403496e+05 
       3.047088614791e-03       2.369327706125e+05       2.369323273879e+05       2.361684052467e+05       2.112089959078e+05       2.021299519905e+05       0.000000000000e+00       2.359568575770e+05 
       3.094224005516e-03       2.367680480529e+05       2.367676167748e+05       2.359801231511e+05       2.083415831375e+05       1.991285317219e+05       0.000000000000e+00       2.357084661382e+05 
       3.142088533243e-03       2.365987158476e+05       2.365982961950e+05       2.357865142154e+05       2.054202865782e+05       1.960765760103e+05       0.000000000000e+00       2.354539624601e+05 
       3.190693476988e-03       2.364246610113e+05       2.364242526717e+05       2.355874440980e+05       2.024452929937e+05       1.929746840084e+05       0.000000000000e+00       2.351932437622e+05 
       3.240050290240e-03       2.362457687520e+05       2.362453714212e+05       2.353827761237e+05       1.994168798777e+05       1.898235644377e+05       0.000000000000e+00       2.349262082786e+05 
       3.290170603662e-03       2.360619224742e+05       2.360615358561e+05       2.351723711638e+05       1.963354209673e+05       1.866240410342e+05       0.000000000000e+00       2.346527554007e+05 
       3.341066227834e-03       2.358730038125e+05       2.358726276190e+05       2.349560876827e+05       1.932013917836e+05       1.833770579937e+05       0.000000000000e+00       2.343727858711e+05 
       3.392749156031e-03       2.356788926938e+05       2.356785266445e+05       2.347337817943e+05       1.900153753326e+05       1.800836853746e+05       0.000000000000e+00       2.340862020046e+05 
       3.445231567053e-03       2.354794673763e+05       2.354791111980e+05       2.345053073062e+05       1.867780678307e+05       1.767451245188e+05       0.000000000000e+00       2.337929078889e+05 
       3.498525828094e-03       2.352746044507e+05       2.352742578779e+05       2.342705156451e+05       1.834902845741e+05       1.733627134283e+05       0.000000000000e+00       2.334928095383e+05 
       3.552644497655e-03       2.350641789439e+05       2.350638417180e+05       2.340292560073e+05       1.801529658026e+05       1.699379319774e+05       0.000000000000e+00       2.331858151635e+05 
       3.607600328507e-03       2.348480643787e+05       2.348477362480e+05       2.337813753346e+05       1.767671827148e+05       1.664724070037e+05       0.000000000000e+00       2.328718353795e+05 
       3.663406270690e-03       2.346261327776e+05       2.346258134973e+05       2.335267184323e+05       1.733341431784e+05       1.629679173277e+05       0.000000000000e+00       2.325507833846e+05 
       3.720075474571e-03       2.343982548214e+05       2.343979441531e+05       2.332651279142e+05       1.698551979218e+05       1.594263983659e+05       0.000000000000e+00       2.322225752408e+05 
       3.777621293938e-03       2.341642998742e+05       2.341639975859e+05       2.329964443483e+05       1.663318461861e+05       1.558499466490e+05       0.000000000000e+00       2.318871300677e+05 
       3.836057289148e-03       2.339241360357e+05       2.339238419017e+05       2.327205063337e+05       1.627657413973e+05       1.522408239607e+05       0.000000000000e+00       2.315443702428e+05 
       3.895397230327e-03       2.336776303064e+05       2.336773441070e+05       2.324371504563e+05       1.591586970192e+05       1.486014610324e+05       0.000000000000e+00       2.311942216725e+05 
       3.955655100607e-03       2.334246486487e+05       2.334243701702e+05       2.321462115142e+05       1.555126917548e+05       1.449344608647e+05       0.000000000000e+00       2.308366140058e+05 
       4.016845099426e-03       2.331650560546e+05       2.331647850890e+05       2.318475225538e+05       1.518298747352e+05       1.412426015952e+05       0.000000000000e+00       2.304714808172e+05 
       4.078981645874e-03       2.328987166582e+05       2.328984530030e+05       2.315409147930e+05       1.481125705832e+05       1.375288386893e+05       0.000000000000e+00       2.300987597985e+05 
       4.142079382089e-03       2.326254939500e+05       2.326252374083e+05       2.312262180802e+05       1.443632838165e+05       1.337963064922e+05       0.000000000000e+00       2.297183930993e+05 
       4.206153176707e-03       2.323452507900e+05       2.323450011700e+05       2.309032606098e+05       1.405847031147e+05       1.300483191552e+05       0.000000000000e+00       2.293303273759e+05 
       4.271218128370e-03       2.320578496210e+05       2.320576067362e+05       2.305718693865e+05       1.367797049131e+05       1.262883706467e+05       0.000000000000e+00       2.289345140994e+05 
       4.337289569278e-03       2.317631524272e+05       2.317629160961e+05       2.302318699173e+05       1.329513565996e+05       1.225201340493e+05       0.000000000000e+00       2.285309095194e+05 
       4.404383068805e-03       2.314610211678e+05       2.314607912138e+05       2.298830868297e+05       1.291029190449e+05       1.187474595858e+05       0.000000000000e+00       2.281194751339e+05 
       4.472514437169e-03       2.311513176845e+05       2.311510939357e+05       2.295253436822e+05       1.252378483784e+05       1.149743719002e+05       0.000000000000e+00       2.277001775817e+05 
       4.541699729155e-03       2.308339040400e+05       2.308336863292e+05       2.291584631933e+05       1.213597971916e+05       1.112050659632e+05       0.000000000000e+00       2.272729889248e+05 
       4.611955247898e-03       2.305086424856e+05       2.305084306500e+05       2.287822673498e+05       1.174726145080e+05       1.074439019075e+05       0.000000000000e+00       2.268378865782e+05 
       4.683297548730e-03       2.301753957713e+05       2.301751896525e+05       2.283965776877e+05       1.135803450476e+05       1.036953983757e+05       0.000000000000e+00       2.263948535132e+05 
       4.755743443073e-03       2.298340273550e+05       2.298338267990e+05       2.280012151958e+05       1.096872276518e+05       9.996422446376e+04       0.000000000000e+00       2.259438782899e+05 
       4.829310002407e-03       2.294844014368e+05       2.294842062937e+05       2.275960007884e+05       1.057976918244e+05       9.625519026022e+04       0.000000000000e+00       2.254849549880e+05 
