# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 285.831 h/Mpc,
# number of wavenumbers equal to 587
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:t_g                    3:t_b                    4:t_cdm                  5:t_dmeff                6:t_ur                   7:t_tot              
       1.728566800261e-01      -5.736435968830e-06       2.772956078325e-01       2.898352399582e-01       2.898352393400e-01      -5.607778511909e-06       2.767607357122e-01 
       1.786371847629e-01      -5.519537000104e-06       2.882548442181e-01       2.991341717955e-01       2.991341711337e-01      -5.393609862031e-06       2.859661959268e-01 
       1.846110016472e-01      -5.313780508826e-06       2.986112912758e-01       3.082976232865e-01       3.082976225772e-01      -5.191154877972e-06       2.949675040515e-01 
       1.907845899455e-01      -5.104408402593e-06       3.067057222987e-01       3.162059091732e-01       3.162059084121e-01      -4.986352684687e-06       3.026025550147e-01 
       1.971646295003e-01      -4.883934975587e-06       3.117287454394e-01       3.222336541978e-01       3.222336533802e-01      -4.771814393363e-06       3.082408247953e-01 
       2.037580214694e-01      -4.654508438897e-06       3.141770080362e-01       3.265804657602e-01       3.265804648809e-01      -4.549157371224e-06       3.121212274377e-01 
       2.105718879280e-01      -4.424396857498e-06       3.157024144875e-01       3.301904537466e-01       3.301904528000e-01      -4.325748692970e-06       3.152636041549e-01 
       2.176135701764e-01      -4.203317996568e-06       3.184213271439e-01       3.343460612313e-01       3.343460602114e-01      -4.110441955244e-06       3.190331142888e-01 
       2.248906255842e-01      -4.000707829619e-06       3.240406760131e-01       3.401956162469e-01       3.401956151474e-01      -3.912198593897e-06       3.246224221169e-01 
       2.324108227904e-01      -3.821775143981e-06       3.329575792721e-01       3.481764242532e-01       3.481764230669e-01      -3.736354296203e-06       3.324457451246e-01 
       2.401821350641e-01      -3.662201568737e-06       3.437616104032e-01       3.575552938539e-01       3.575552925732e-01      -3.579278479413e-06       3.416909180697e-01 
       2.482127316238e-01      -3.511121336007e-06       3.539073879760e-01       3.667643316105e-01       3.667643302269e-01      -3.430960092839e-06       3.506955654304e-01 
       2.565109667032e-01      -3.358898373088e-06       3.612816326234e-01       3.743890025665e-01       3.743890010708e-01      -3.282274272049e-06       3.579888551908e-01 
       2.650853661468e-01      -3.200933752504e-06       3.654998239989e-01       3.799874085848e-01       3.799874069672e-01      -3.128530833844e-06       3.631548698243e-01 
