# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156067384183e+03       3.965331067548e-02       0.000000000000e+00       3.017146071922e+00       5.143163783248e-08       3.476107703913e-03      -1.439073225000e-05 
    3       1.082024723314e+03       5.009250583648e-02       0.000000000000e+00       3.403753120717e+00       6.337256812774e-08       3.466739045686e-03      -1.528254444202e-05 
    4       1.015240791688e+03       4.258822726041e-02       0.000000000000e+00       3.176986299684e+00       7.337261174752e-08       3.376336045961e-03      -1.275152559577e-05 
    5       9.655592272325e+02       2.787392117516e-02       0.000000000000e+00       2.691544753364e+00       8.207630281353e-08       3.256818907691e-03      -8.501030777267e-06 
    6       9.311998623464e+02       1.529820523404e-02       0.000000000000e+00       2.149828694125e+00       8.971217014182e-08       3.127807267224e-03      -3.941014102388e-06 
    7       9.084198837844e+02       8.178830707393e-03       0.000000000000e+00       1.669066112242e+00       9.646496988428e-08       2.998853567614e-03      -1.375472934243e-07 
    8       8.944542513400e+02       5.282570363713e-03       0.000000000000e+00       1.300413706113e+00       1.024787673139e-07       2.875204459625e-03       2.297832836231e-06 
    9       8.869964038129e+02       4.226952689103e-03       0.000000000000e+00       1.054409647748e+00       1.078504455280e-07       2.759521816292e-03       3.216586990657e-06 
   10       8.841218964276e+02       3.554718730881e-03       0.000000000000e+00       9.184121383265e-01       1.126415856349e-07       2.652131365240e-03       2.856551503583e-06 
   11       8.850893347762e+02       2.947352690428e-03       0.000000000000e+00       8.680120513992e-01       1.141729572933e-07       2.564006865695e-03       1.710919054416e-06 
   12       8.887700855958e+02       2.551286685742e-03       0.000000000000e+00       8.756471593222e-01       1.178757099010e-07       2.463159206667e-03       2.993210184296e-07 
   13       8.946303955505e+02       2.434555762935e-03       0.000000000000e+00       9.170863081080e-01       1.211873298335e-07       2.375186542392e-03      -8.993272883348e-07 
   14       9.021256836664e+02       2.503576735054e-03       0.000000000000e+00       9.744343936415e-01       1.241510907202e-07       2.283998456641e-03      -1.622429713807e-06 
   15       9.112169703410e+02       2.658662431890e-03       0.000000000000e+00       1.036794707195e+00       1.268032841892e-07       2.201563317058e-03      -1.781774146649e-06 
   16       9.214380911916e+02       2.895221122185e-03       0.000000000000e+00       1.099293977414e+00       1.291766227294e-07       2.124379201954e-03      -1.485125500377e-06 
   17       9.327332669324e+02       3.269505886470e-03       0.000000000000e+00       1.161569179286e+00       1.312986374711e-07       2.050946084811e-03      -9.479521086298e-07 
   18       9.447208097939e+02       3.823030945362e-03       0.000000000000e+00       1.225543676733e+00       1.331415640040e-07       1.980601836963e-03      -4.193696607809e-07 
   19       9.574852441621e+02       4.553920550103e-03       0.000000000000e+00       1.293292647739e+00       1.348800413044e-07       1.915417412781e-03      -5.308203494650e-08 
   20       9.708704733794e+02       5.441043769739e-03       0.000000000000e+00       1.366513422469e+00       1.363704978918e-07       1.853844897846e-03       3.643226647639e-08 
   21       9.849221972949e+02       6.477908304779e-03       0.000000000000e+00       1.444819145194e+00       1.377036356592e-07       1.795925572402e-03      -1.357692128945e-07 
   22       9.994967145514e+02       7.659850850572e-03       0.000000000000e+00       1.526347697341e+00       1.388535251194e-07       1.739586649564e-03      -4.636495520885e-07 
   23       1.014581658836e+03       8.985311307970e-03       0.000000000000e+00       1.607718419971e+00       1.398928961122e-07       1.685423357672e-03      -8.367077366114e-07 
   24       1.030051134719e+03       1.045246918800e-02       0.000000000000e+00       1.684739823149e+00       1.407719831773e-07       1.633424591438e-03      -1.124567221846e-06 
   25       1.045984812576e+03       1.206230134562e-02       0.000000000000e+00       1.755030750632e+00       1.415472953520e-07       1.584667713488e-03      -1.264395778077e-06 
   26       1.062382609596e+03       1.381897714455e-02       0.000000000000e+00       1.816869798387e+00       1.421965123048e-07       1.539229633459e-03      -1.231169264488e-06 
   27       1.079138696325e+03       1.574089839531e-02       0.000000000000e+00       1.869715865955e+00       1.427475449018e-07       1.496340318845e-03      -1.072231196665e-06 
   28       1.096052828331e+03       1.785075203292e-02       0.000000000000e+00       1.913652736062e+00       1.431629655362e-07       1.454151606511e-03      -8.745758149276e-07 
   29       1.113202191954e+03       2.016070178196e-02       0.000000000000e+00       1.949394487446e+00       1.435184866195e-07       1.413386979778e-03      -6.907392252596e-07 
   30       1.130668829189e+03       2.267949415072e-02       0.000000000000e+00       1.978177515219e+00       1.438353465544e-07       1.374981959158e-03      -5.732144927042e-07 
   31       1.148450975588e+03       2.541503260717e-02       0.000000000000e+00       2.001215279271e+00       1.440308966091e-07       1.339045860058e-03      -5.737054829699e-07 
