# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156085127787e+03       3.965549606307e-02       1.706699703851e-06       3.017182461402e+00       5.143225907677e-08       3.476149610984e-03      -1.439090597229e-05 
    3       1.082045344694e+03       5.009652474258e-02       3.414194799311e-06       3.403794063559e+00       6.337333440333e-08       3.466780819438e-03      -1.528272893013e-05 
    4       1.015265606028e+03       4.259443347107e-02       5.692075097588e-06       3.177024230435e+00       7.337349561016e-08       3.376376627777e-03      -1.275167952991e-05 
    5       9.655896498479e+02       2.788279908061e-02       8.541354030311e-06       2.691576285571e+00       8.207728894742e-08       3.256857973648e-03      -8.501133400059e-06 
    6       9.312372636993e+02       1.531035334075e-02       1.196325905875e-05       2.149852759404e+00       8.971324885466e-08       3.127844784210e-03      -3.941061677418e-06 
    7       9.084655556622e+02       8.194889044723e-03       1.595920728516e-05       1.669082911539e+00       9.646612943033e-08       2.998889533719e-03      -1.375489542830e-07 
    8       8.945094084541e+02       5.303165731766e-03       2.053077792972e-05       1.300423894124e+00       1.024799981296e-07       2.875238874671e-03       2.297860574807e-06 
    9       8.870622089737e+02       4.252684944032e-03       2.567968251770e-05       1.054413826891e+00       1.078517398846e-07       2.759554761763e-03       3.216625821983e-06 
   10       8.841994564594e+02       3.586172080655e-03       3.140773367903e-05       9.184105654428e-01       1.126429335596e-07       2.652162958795e-03       2.856585988276e-06 
   11       8.851796984591e+02       2.985109532335e-03       3.771681348837e-05       8.680044852205e-01       1.141743301560e-07       2.564037515144e-03       1.710939705837e-06 
   12       8.888742397941e+02       2.595933270249e-03       4.460884226619e-05       8.756328153001e-01       1.178771270003e-07       2.463188555132e-03       2.993246299495e-07 
   13       8.947493055253e+02       2.486681255393e-03       5.208574872176e-05       9.170638924139e-01       1.211887860503e-07       2.375214798099e-03      -8.993381418822e-07 
   14       9.022602704280e+02       2.563771227084e-03       6.014944224821e-05       9.744021767046e-01       1.241525818629e-07       2.284025676501e-03      -1.622449297392e-06 
   15       9.113681155541e+02       2.727516782510e-03       6.880178808191e-05       1.036750607199e+00       1.268048068418e-07       2.201589522400e-03      -1.781795659748e-06 
   16       9.216066137012e+02       2.973327971887e-03       7.804458591607e-05       1.099235634991e+00       1.291781735941e-07       2.124404346451e-03      -1.485143432173e-06 
   17       9.329199927306e+02       3.357460209325e-03       8.787955241735e-05       1.161494014032e+00       1.313002134090e-07       2.050970232204e-03      -9.479635483156e-07 
   18       9.449265322905e+02       3.921429641772e-03       9.830830621018e-05       1.225448920120e+00       1.331431617402e-07       1.980625144495e-03      -4.193747194800e-07 
   19       9.577107221040e+02       4.663361644738e-03       1.093323675676e-04       1.293175349279e+00       1.348816596098e-07       1.915439986596e-03      -5.308267748095e-08 
   20       9.711164348559e+02       5.562125866221e-03       1.209531346024e-04       1.366370452387e+00       1.363721336521e-07       1.853866681251e-03       3.643270371080e-08 
   21       9.851893629885e+02       6.611230407279e-03       1.331719092771e-04       1.444647177986e+00       1.377052870328e-07       1.795946586455e-03      -1.357708516179e-07 
   22       9.997858029380e+02       7.806011996482e-03       1.459898710962e-04       1.526143203703e+00       1.388551903055e-07       1.739607045976e-03      -4.636551481924e-07 
   23       1.014893368150e+03       9.144910201039e-03       1.594081155891e-04       1.607477654758e+00       1.398945740107e-07       1.685443182351e-03      -8.367178358372e-07 
   24       1.030386138423e+03       1.062610375462e-02       1.734276275772e-04       1.684458826065e+00       1.407736716363e-07       1.633443687178e-03      -1.124580792297e-06 
   25       1.046343780505e+03       1.225056834882e-02       1.880493341505e-04       1.754705380573e+00       1.415489929388e-07       1.584686045339e-03      -1.264411034848e-06 
   26       1.062766213006e+03       1.402247175479e-02       2.032740723608e-04       1.816495754743e+00       1.421982175916e-07       1.539247388010e-03      -1.231184128315e-06 
   27       1.079547593652e+03       1.596021393391e-02       2.191026393840e-04       1.869288713788e+00       1.427492567725e-07       1.496357629406e-03      -1.072244152917e-06 
   28       1.096487660792e+03       1.808647956367e-02       2.355357706367e-04       1.913167928272e+00       1.431646822814e-07       1.454168441973e-03      -8.745863869665e-07 
   29       1.113663591280e+03       2.041342965826e-02       2.525742177714e-04       1.948847389396e+00       1.435202074721e-07       1.413403298637e-03      -6.907475702147e-07 
   30       1.131157419621e+03       2.294980751300e-02       2.702186863589e-04       1.977563429375e+00       1.438370711480e-07       1.374997762894e-03      -5.732214065064e-07 
   31       1.148967372270e+03       2.570351291881e-02       2.884698357956e-04       2.000529464943e+00       1.440326237568e-07       1.339061191056e-03      -5.737123923691e-07 
   32       1.167111772501e+03       2.868034559083e-02       3.073283722763e-04       2.017134308467e+00       1.441531692208e-07       1.305442741003e-03      -6.765105722242e-07 
   33       1.185542407352e+03       3.188462914086e-02       3.267949913711e-04       2.026051884286e+00       1.442280097104e-07       1.273071812467e-03      -8.278048900630e-07 
   34       1.204158913675e+03       3.532049131675e-02       3.468703661356e-04       2.025851875079e+00       1.442195738324e-07       1.240316256775e-03      -9.617903737042e-07 
   35       1.222993869350e+03       3.899554404105e-02       3.675551854598e-04       2.015582521773e+00       1.441607667535e-07       1.207705656272e-03      -1.052989509603e-06 
   36       1.242079000176e+03       4.291844952165e-02       3.888501323112e-04       1.994375027816e+00       1.440586456639e-07       1.176332139821e-03      -1.086993770159e-06 
   37       1.261408308868e+03       4.709738716851e-02       4.107558654420e-04       1.961452169792e+00       1.438729016448e-07       1.147039721585e-03      -1.053483679553e-06 
   38       1.281001298757e+03       5.153811063466e-02       4.332729839529e-04       1.916703877419e+00       1.436431418407e-07       1.120087287776e-03      -9.676557063982e-07 
   39       1.300851297440e+03       5.624519940336e-02       4.564020536552e-04       1.860308041079e+00       1.434062383412e-07       1.095206681449e-03      -8.599366273505e-07 
   40       1.320902193768e+03       6.122252040418e-02       4.801436181511e-04       1.792587422557e+00       1.431485153731e-07       1.071570288441e-03      -7.724805015121e-07 
   41       1.341080711714e+03       6.647391363831e-02       5.044981664731e-04       1.713871132057e+00       1.428214978256e-07       1.048105958617e-03      -7.478682172862e-07 
   42       1.361417771408e+03       7.200562709844e-02       5.294660203712e-04       1.624004227014e+00       1.424484614090e-07       1.024885100783e-03      -7.845236082562e-07 
   43       1.381958300615e+03       7.782459775148e-02       5.550474124071e-04       1.522692893415e+00       1.420556207037e-07       1.002232379642e-03      -8.624661298833e-07 
   44       1.402725069900e+03       8.393779331810e-02       5.812425153218e-04       1.409636243255e+00       1.416354720551e-07       9.803388653174e-04      -9.533940786399e-07 
   45       1.423724456656e+03       9.035147423245e-02       6.080514024922e-04       1.284522099024e+00       1.411594214750e-07       9.592850629127e-04      -1.027601981814e-06 
   46       1.444971439930e+03       9.706870585356e-02       6.354739178004e-04       1.147016540580e+00       1.406524020873e-07       9.391960353240e-04      -1.081113328150e-06 
   47       1.466468001163e+03       1.040911101203e-01       6.635097649854e-04       9.967685650635e-01       1.401434885033e-07       9.201040561053e-04      -1.118742668681e-06 
   48       1.488193735459e+03       1.114195062094e-01       6.921585394778e-04       8.334107862617e-01       1.396408501011e-07       9.018772007878e-04      -1.147356113735e-06 
   49       1.510103924862e+03       1.190538722510e-01       7.214197250833e-04       6.565577136283e-01       1.391254104615e-07       8.841926531406e-04      -1.176116630912e-06 
   50       1.532150365615e+03       1.269939605765e-01       7.512926880180e-04       4.658497004179e-01       1.385632445888e-07       8.666619353215e-04      -1.214414637739e-06 
   51       1.554354984689e+03       1.352414291611e-01       7.817766647963e-04       2.611028441522e-01       1.379688041757e-07       8.493356290662e-04      -1.264031162489e-06 
   52       1.576752875160e+03       1.437982225598e-01       8.128707653233e-04       4.219680012708e-02       1.373628721017e-07       8.323528012353e-04      -1.324268178340e-06 
   53       1.599370453047e+03       1.526659615905e-01       8.445739718981e-04      -1.909669134672e-01       1.367526639363e-07       8.157956626831e-04      -1.393955403294e-06 
   54       1.622224601363e+03       1.618459358038e-01       8.768851357725e-04      -4.384644873879e-01       1.361281062649e-07       7.996795079568e-04      -1.471394908950e-06 
   55       1.645325031759e+03       1.713389591181e-01       9.098030513572e-04      -7.003546634326e-01       1.354704896309e-07       7.839845963422e-04      -1.554464051509e-06 
   56       1.668684017397e+03       1.811449119793e-01       9.433267083070e-04      -9.766956501978e-01       1.347937762467e-07       7.687910839468e-04      -1.641108037005e-06 
   57       1.692307578664e+03       1.912630722739e-01       9.774550960325e-04      -1.267531659606e+00       1.341160950620e-07       7.541751824363e-04      -1.728928249331e-06 
   58       1.716191762724e+03       2.016922296184e-01       1.012187131134e-03      -1.572887786855e+00       1.334466506699e-07       7.401642848602e-04      -1.814993346210e-06 
   59       1.740321912924e+03       2.124306724971e-01       1.047521656986e-03      -1.892769787597e+00       1.327834348257e-07       7.267297876558e-04      -1.895792608622e-06 
   60       1.764671938207e+03       2.234761754017e-01       1.083457443321e-03      -2.227163855110e+00       1.321107291102e-07       7.137796044733e-04      -1.967187689825e-06 
