# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156071579363e+03       3.965503125136e-02       1.706659317683e-06       3.017147097893e+00       5.143165595194e-08       3.476108928031e-03      -1.439073730038e-05 
    3       1.082032663960e+03       5.009593753401e-02       3.414114005447e-06       3.403754168692e+00       6.337259071873e-08       3.466740263701e-03      -1.528254980538e-05 
    4       1.015253711287e+03       4.259393416527e-02       5.691940393891e-06       3.176986993483e+00       7.337263725195e-08       3.376337234931e-03      -1.275153007087e-05 
    5       9.655783393366e+02       2.788247217186e-02       8.541151887551e-06       2.691544738424e+00       8.207633133226e-08       3.256820054139e-03      -8.501033760640e-06 
    6       9.312263537666e+02       1.531017374936e-02       1.196297591516e-05       2.149827561624e+00       8.971220196736e-08       3.127808362459e-03      -3.941015485484e-06 
    7       9.084549091242e+02       8.194792804000e-03       1.595882954182e-05       1.669063348781e+00       9.646500385775e-08       2.998854625813e-03      -1.375473418244e-07 
    8       8.944989316848e+02       5.303103329493e-03       2.053029194684e-05       1.300408652351e+00       1.024788042773e-07       2.875205499364e-03       2.297833642637e-06 
    9       8.870518217160e+02       4.252634792590e-03       2.567907461188e-05       1.054401468447e+00       1.078504852784e-07       2.759522818947e-03       3.216588119793e-06 
   10       8.841890966409e+02       3.586129672723e-03       3.140699012150e-05       9.183998010646e-01       1.126416257415e-07       2.652132276180e-03       2.856552506153e-06 
   11       8.851693238895e+02       2.985074093826e-03       3.771592050422e-05       8.679943119335e-01       1.141729972656e-07       2.564007746193e-03       1.710919654328e-06 
   12       8.888638347111e+02       2.595902310724e-03       4.460778603455e-05       8.756225526302e-01       1.178757511960e-07       2.463160106908e-03       2.993211232854e-07 
   13       8.947388309094e+02       2.486651486929e-03       5.208451537681e-05       9.170531440700e-01       1.211873723377e-07       2.375187405345e-03      -8.993276030568e-07 
   14       9.022497023022e+02       2.563740458599e-03       6.014801788096e-05       9.743907563247e-01       1.241511342966e-07       2.283999213056e-03      -1.622430282745e-06 
   15       9.113574295936e+02       2.727483991296e-03       6.880015874260e-05       1.036738456278e+00       1.268033287250e-07       2.201564045570e-03      -1.781774773240e-06 
   16       9.215958262488e+02       2.973292189035e-03       7.804273761701e-05       1.099222751947e+00       1.291766681135e-07       2.124380002275e-03      -1.485126022312e-06 
   17       9.329090725285e+02       3.357419806537e-03       8.787747113612e-05       1.161480401443e+00       1.312986835924e-07       2.050946882726e-03      -9.479524391814e-07 
   18       9.449154593817e+02       3.921382504149e-03       9.830597789300e-05       1.225434557660e+00       1.331416107856e-07       1.980602536258e-03      -4.193698076138e-07 
   19       9.576994915289e+02       4.663305679355e-03       1.093297781323e-04       1.293160192938e+00       1.348800887302e-07       1.915418021005e-03      -5.308205655685e-08 
   20       9.711050528141e+02       5.562059227818e-03       1.209502699422e-04       1.366354439081e+00       1.363705458601e-07       1.853845550247e-03       3.643227911711e-08 
   21       9.851778239858e+02       6.611151326682e-03       1.331687552627e-04       1.444630248087e+00       1.377036840862e-07       1.795926296908e-03      -1.357692564602e-07 
   22       9.997740872315e+02       7.805918759170e-03       1.459864135788e-04       1.526125317961e+00       1.388535739148e-07       1.739587280918e-03      -4.636497143515e-07 
   23       1.014881465725e+03       9.144801110781e-03       1.594043404017e-04       1.607458814803e+00       1.398929452396e-07       1.685423851768e-03      -8.367080351998e-07 
   24       1.030374056718e+03       1.062597713654e-02       1.734235205366e-04       1.684439084536e+00       1.407720326238e-07       1.633425132467e-03      -1.124567617478e-06 
   25       1.046331519307e+03       1.225042251661e-02       1.880448810572e-04       1.754684817099e+00       1.415473451014e-07       1.584668366919e-03      -1.264396216241e-06 
