# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156079038132e+03       3.965371062895e-02       0.000000000000e+00       3.017176503340e+00       5.143215319630e-08       3.476142588338e-03      -1.439087739865e-05 
    3       1.082035628756e+03       5.009301108240e-02       0.000000000000e+00       3.403787451534e+00       6.337320327072e-08       3.466773792715e-03      -1.528269858561e-05 
    4       1.015251022616e+03       4.258865681619e-02       0.000000000000e+00       3.177018343269e+00       7.337334134423e-08       3.376369722245e-03      -1.275165421092e-05 
    5       9.655689546512e+02       2.787420231857e-02       0.000000000000e+00       2.691571900612e+00       8.207711427563e-08       3.256851248328e-03      -8.501116521196e-06 
    6       9.312092414649e+02       1.529835953549e-02       0.000000000000e+00       2.149850377587e+00       8.971305619297e-08       3.127838207124e-03      -3.941053852513e-06 
    7       9.084290334793e+02       8.178913200999e-03       0.000000000000e+00       1.669082946863e+00       9.646592234915e-08       2.998883205860e-03      -1.375486799394e-07 
    8       8.944632644341e+02       5.282623644900e-03       0.000000000000e+00       1.300426822256e+00       1.024797809295e-07       2.875232893181e-03       2.297856012900e-06 
    9       8.870053372003e+02       4.226995323064e-03       0.000000000000e+00       1.054420282214e+00       1.078515124217e-07       2.759548969094e-03       3.216619432339e-06 
   10       8.841307975822e+02       3.554754584503e-03       0.000000000000e+00       9.184214012617e-01       1.126426914204e-07       2.652157165609e-03       2.856580314703e-06 
   11       8.850982383750e+02       2.947382417959e-03       0.000000000000e+00       8.680208073530e-01       1.141740864104e-07       2.564031944807e-03       1.710936314381e-06 
   12       8.887790388539e+02       2.551312418383e-03       0.000000000000e+00       8.756559921155e-01       1.178768747570e-07       2.463183335660e-03       2.993240405240e-07 
   13       8.946394025636e+02       2.434580318123e-03       0.000000000000e+00       9.170955567203e-01       1.211885259697e-07       2.375209764215e-03      -8.993363630774e-07 
   14       9.021347667437e+02       2.503601986313e-03       0.000000000000e+00       9.744442203076e-01       1.241523146269e-07       2.284020628996e-03      -1.622446085219e-06 
   15       9.112261332862e+02       2.658689247273e-03       0.000000000000e+00       1.036805166026e+00       1.268045333877e-07       2.201584583792e-03      -1.781792115694e-06 
   16       9.214473688813e+02       2.895250323409e-03       0.000000000000e+00       1.099305068328e+00       1.291778944349e-07       2.124399723746e-03      -1.485140471697e-06 
