# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156074901678e+03       3.965514526143e-02       1.706669515134e-06       3.017155771924e+00       5.143180445784e-08       3.476118892732e-03      -1.439077867248e-05 
    3       1.082035774891e+03       5.009608156607e-02       3.414134406269e-06       3.403763954183e+00       6.337277558571e-08       3.466750222283e-03      -1.528259374139e-05 
    4       1.015256628093e+03       4.259405663679e-02       5.691974408242e-06       3.176996127024e+00       7.337285295302e-08       3.376346896543e-03      -1.275156673057e-05 
    5       9.655811113225e+02       2.788255235804e-02       8.541202932996e-06       2.691552476367e+00       8.207657205157e-08       3.256829338005e-03      -8.501058200396e-06 
    6       9.312290270226e+02       1.531021780189e-02       1.196304741813e-05       2.149833742244e+00       8.971246186893e-08       3.127817266683e-03      -3.941026815038e-06 
    7       9.084575213007e+02       8.194816412836e-03       1.595892493881e-05       1.669068147200e+00       9.646528182465e-08       2.998863160585e-03      -1.375477370531e-07 
    8       8.945015007714e+02       5.303118639166e-03       2.053041468536e-05       1.300412390802e+00       1.024790978061e-07       2.875213622499e-03       2.297840247540e-06 
    9       8.870543661549e+02       4.252647098249e-03       2.567922815109e-05       1.054404499655e+00       1.078507927987e-07       2.759530560934e-03       3.216597366513e-06 
   10       8.841916329830e+02       3.586140080035e-03       3.140717793259e-05       9.184024416338e-01       1.126419499821e-07       2.652139804347e-03       2.856560720414e-06 
   11       8.851718698115e+02       2.985082792769e-03       3.771614607048e-05       8.679968074548e-01       1.141733281402e-07       2.564015039969e-03       1.710924574595e-06 
   12       8.888663848474e+02       2.595909912262e-03       4.460805285118e-05       8.756250697136e-01       1.178760930647e-07       2.463166992786e-03       2.993219810538e-07 
   13       8.947413989730e+02       2.486658797631e-03       5.208482695049e-05       9.170557801407e-01       1.211877239491e-07       2.375194061388e-03      -8.993301912369e-07 
   14       9.022522888944e+02       2.563748015999e-03       6.014837772921e-05       9.743935581486e-01       1.241514946379e-07       2.284005793193e-03      -1.622434943696e-06 
   15       9.113600546766e+02       2.727492046341e-03       6.880057039299e-05       1.036741437299e+00       1.268036971281e-07       2.201570362546e-03      -1.781779891432e-06 
