# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.156082754335e+03       3.965541477777e-02       1.706693047310e-06       3.017176276861e+00       5.143215034717e-08       3.476142390915e-03      -1.439087647517e-05 
    3       1.082043121691e+03       5.009642205304e-02       3.414181482964e-06       3.403787086571e+00       6.337319976972e-08       3.466773599945e-03      -1.528269760491e-05 
    4       1.015263521254e+03       4.259434615435e-02       5.692052896478e-06       3.177017718252e+00       7.337333732747e-08       3.376369515969e-03      -1.275165339264e-05 
    5       9.655876673495e+02       2.788274191311e-02       8.541320715290e-06       2.691570768356e+00       8.207710980683e-08       3.256851057969e-03      -8.501115975651e-06 
    6       9.312353488807e+02       1.531032193675e-02       1.196321239557e-05       2.149848352636e+00       8.971305120883e-08       3.127838065624e-03      -3.941053599598e-06 
    7       9.084636842844e+02       8.194872217940e-03       1.595914503363e-05       1.669079490491e+00       9.646591680766e-08       2.998883058198e-03      -1.375486711380e-07 
    8       8.945075744588e+02       5.303154823707e-03       2.053069784300e-05       1.300421228605e+00       1.024797749417e-07       2.875232692280e-03       2.297855865434e-06 
    9       8.870603900270e+02       4.252676179611e-03       2.567958234167e-05       1.054411665048e+00       1.078515060817e-07       2.759548788541e-03       3.216619225921e-06 
   10       8.841976352821e+02       3.586164671762e-03       3.140761115179e-05       9.184086825505e-01       1.126426848669e-07       2.652157073065e-03       2.856580131318e-06 
   11       8.851778653089e+02       2.985103343724e-03       3.771666633982e-05       8.680027072467e-01       1.141740796895e-07       2.564031840541e-03       1.710936204531e-06 
   12       8.888724195978e+02       2.595927866521e-03       4.460866821780e-05       8.756310215887e-01       1.178768678536e-07       2.463183132520e-03       2.993240216182e-07 
   13       8.947474731566e+02       2.486676061677e-03       5.208554548639e-05       9.170620114012e-01       1.211885188826e-07       2.375209580016e-03      -8.993363050831e-07 
   14       9.022584181231e+02       2.563765860322e-03       6.014920753009e-05       9.744001777453e-01       1.241523074110e-07       2.284020589534e-03      -1.622445981423e-06 
   15       9.113662251477e+02       2.727511063956e-03       6.880151957669e-05       1.036748483711e+00       1.268045260781e-07       2.201584549523e-03      -1.781792002236e-06 
   16       9.216047218789e+02       2.973321732211e-03       7.804428131099e-05       1.099233385496e+00       1.291778870468e-07       2.124399526954e-03      -1.485140375644e-06 
   17       9.329180803990e+02       3.357453163868e-03       8.787920939151e-05       1.161491634079e+00       1.312999215790e-07       2.050965588923e-03      -9.479616045045e-07 
   18       9.449245835421e+02       3.921421420786e-03       9.830792243481e-05       1.225446406312e+00       1.331428651650e-07       1.980620627134e-03      -4.193738708245e-07 
   19       9.577087372166e+02       4.663351882328e-03       1.093319407065e-04       1.293172697265e+00       1.348813584645e-07       1.915435535497e-03      -5.308257855071e-08 
   20       9.711144251645e+02       5.562114239803e-03       1.209526623124e-04       1.366367655247e+00       1.363718285148e-07       1.853862278742e-03       3.643263804416e-08 
   21       9.851873332616e+02       6.611216607534e-03       1.331713892083e-04       1.444644223343e+00       1.377049780699e-07       1.795942259406e-03      -1.357705516101e-07 
   22       9.997837460344e+02       7.805995723604e-03       1.459893008928e-04       1.526140076119e+00       1.388548773958e-07       1.739602861420e-03      -4.636542011907e-07 
   23       1.014891276109e+03       9.144891158490e-03       1.594074928896e-04       1.607474354374e+00       1.398942571602e-07       1.685439129947e-03      -8.367161530547e-07 
   24       1.030384007644e+03       1.062608164968e-02       1.734269500151e-04       1.684455373154e+00       1.407733515737e-07       1.633439648036e-03      -1.124578496996e-06 
   25       1.046341614525e+03       1.225054288666e-02       1.880485993545e-04       1.754701791327e+00       1.415486701548e-07       1.584681980744e-03      -1.264408412627e-06 
   26       1.062764021893e+03       1.402244263191e-02       2.032732779554e-04       1.816492035402e+00       1.421978921698e-07       1.539243404832e-03      -1.231181580127e-06 
   27       1.079545380407e+03       1.596018080915e-02       2.191017829898e-04       1.869284878259e+00       1.427489288259e-07       1.496353780926e-03      -1.072241963859e-06 
   28       1.096485418053e+03       1.808644204951e-02       2.355348498709e-04       1.913164002180e+00       1.431643523323e-07       1.454164658735e-03      -8.745846148066e-07 
   29       1.113661312204e+03       2.041338734228e-02       2.525732302479e-04       1.948843396348e+00       1.435198758900e-07       1.413399511906e-03      -6.907461618043e-07 
   30       1.131155102345e+03       2.294975996492e-02       2.702176296887e-04       1.977559385086e+00       1.438367380844e-07       1.374993964764e-03      -5.732202181713e-07 
   31       1.148965019821e+03       2.570345969216e-02       2.884687075869e-04       2.000525377198e+00       1.440322893227e-07       1.339057443858e-03      -5.737111945120e-07 
   32       1.167109385882e+03       2.868028622718e-02       3.073271701349e-04       2.017130186340e+00       1.441528334458e-07       1.305439101388e-03      -6.765091686608e-07 
   33       1.185539982867e+03       3.188456317278e-02       3.267937129004e-04       2.026047741622e+00       1.442276727183e-07       1.273068297129e-03      -8.278031880267e-07 
   34       1.204156443789e+03       3.532041826823e-02       3.468690089366e-04       2.025847730686e+00       1.442192360227e-07       1.240312838185e-03      -9.617884073348e-07 
   35       1.222991349913e+03       3.899546342055e-02       3.675537471315e-04       2.015578396165e+00       1.441604284562e-07       1.207702302658e-03      -1.052987364727e-06 
   36       1.242076433633e+03       4.291836082001e-02       3.888486104502e-04       1.994370942228e+00       1.440583070971e-07       1.176328832212e-03      -1.086991564480e-06 
   37       1.261405703906e+03       4.709728985997e-02       4.107542576432e-04       1.961448146346e+00       1.438725629903e-07       1.147036456875e-03      -1.053481553791e-06 
