# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00899e-05 to 311.717 h/Mpc,
# number of wavenumbers equal to 732
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       4.299746180079e-04       1.970130227932e+07       1.970130196310e+07       1.970059408696e+07       9.795653029761e+06       9.524009228225e+06       0.000000000000e+00       1.969819205606e+07 
       4.584083774905e-04       1.969519964164e+07       1.969519928222e+07       1.969441288362e+07       8.529601873743e+06       8.253176301019e+06       0.000000000000e+00       1.969169941376e+07 
       4.886783204611e-04       1.968837150990e+07       1.968837110144e+07       1.968750010275e+07       7.289913111288e+06       7.013371209076e+06       0.000000000000e+00       1.968448888176e+07 
       5.209490543965e-04       1.968073112448e+07       1.968073066030e+07       1.967976906129e+07       6.102944054848e+06       5.831779474747e+06       0.000000000000e+00       1.967648170393e+07 
       5.553930762832e-04       1.967218568601e+07       1.967218515842e+07       1.967112719004e+07       4.997248329026e+06       4.737632635544e+06       0.000000000000e+00       1.966759374937e+07 
       5.921888451566e-04       1.966263511446e+07       1.966263451464e+07       1.966147490620e+07       4.001540675079e+06       3.760049183910e+06       0.000000000000e+00       1.965773366896e+07 
       6.315180925584e-04       1.965197276373e+07       1.965197208159e+07       1.965070637534e+07       3.141724429524e+06       2.924896451811e+06       0.000000000000e+00       1.964680271074e+07 
       6.735623113410e-04       1.964008801769e+07       1.964008724171e+07       1.963871213936e+07       2.437076153734e+06       2.250805404910e+06       0.000000000000e+00       1.963469616153e+07 
       7.184984261710e-04       1.962686654306e+07       1.962686566009e+07       1.962537935033e+07       1.896035437471e+06       1.744828350808e+06       0.000000000000e+00       1.962130232413e+07 
       7.664937385462e-04       1.961219418610e+07       1.961219318122e+07       1.961059580272e+07       1.512513724980e+06       1.398717411836e+06       0.000000000000e+00       1.960650533111e+07 
       8.177003499079e-04       1.959595908705e+07       1.959595794343e+07       1.959425185009e+07       1.264083424481e+06       1.187231924506e+06       0.000000000000e+00       1.959018669884e+07 
       8.722493850187e-04       1.957805398111e+07       1.957805267981e+07       1.957624267901e+07       1.113540371162e+06       1.070041834751e+06       0.000000000000e+00       1.957222813086e+07 
       9.302454423433e-04       1.955838009876e+07       1.955837861866e+07       1.955647206643e+07       1.014912658389e+06       9.982808127143e+05       0.000000000000e+00       1.955251725188e+07 
       9.917617617239e-04       1.953684975999e+07       1.953684807766e+07       1.953485472982e+07       9.236244821452e+05       9.253649929495e+05       0.000000000000e+00       1.953095327188e+07 
       1.056836596931e-03       1.951338916929e+07       1.951338725894e+07       1.951131890217e+07       8.084391882917e+05       8.194970625436e+05       0.000000000000e+00       1.950745337442e+07 
       1.125471197341e-03       1.948794066173e+07       1.948793849520e+07       1.948580834058e+07       6.607474248330e+05       6.731712641431e+05       0.000000000000e+00       1.948195771920e+07 
       1.197629643439e-03       1.946046507310e+07       1.946046261986e+07       1.945828444330e+07       4.961857242822e+05       5.044780448865e+05       0.000000000000e+00       1.945443221280e+07 
       1.273240570655e-03       1.943099861011e+07       1.943099619026e+07       1.942878293422e+07       3.458927855018e+05       3.475612623251e+05       0.000000000000e+00       1.942492291621e+07 
       1.352200596440e-03       1.939953792228e+07       1.939953574896e+07       1.939729910830e+07       2.397203071396e+05       2.348592121786e+05       0.000000000000e+00       1.939343538160e+07 
       1.434379081275e-03       1.936606745734e+07       1.936606550258e+07       1.936381521187e+07       1.893474663704e+05       1.795499247932e+05       0.000000000000e+00       1.935995715204e+07 
       1.519623739800e-03       1.933062761345e+07       1.933062585208e+07       1.932836857176e+07       1.812475997467e+05       1.685078041968e+05       0.000000000000e+00       1.932452410288e+07 
       1.607766587951e-03       1.929327340283e+07       1.929327181240e+07       1.929101067975e+07       1.848401753352e+05       1.710012516102e+05       0.000000000000e+00       1.928718148653e+07 
       1.698629758411e-03       1.925407492846e+07       1.925407348908e+07       1.925180794736e+07       1.716086627109e+05       1.584015564269e+05       0.000000000000e+00       1.924799023277e+07 
       1.792030817038e-03       1.921311190902e+07       1.921311060314e+07       1.921083667621e+07       1.325539054784e+05       1.217340193096e+05       0.000000000000e+00       1.920702677109e+07 
       1.887787337697e-03       1.917047145460e+07       1.917047026681e+07       1.916818109965e+07       8.148450559970e+04       7.452642676503e+04       0.000000000000e+00       1.916438178046e+07 
       1.985720615951e-03       1.912624557642e+07       1.912624449321e+07       1.912393121042e+07       4.179735092630e+04       3.914162748202e+04       0.000000000000e+00       1.912015375527e+07 
       2.085658505077e-03       1.908052977501e+07       1.908052878457e+07       1.907818146801e+07       2.730527291084e+04       2.780903587677e+04       0.000000000000e+00       1.907444191888e+07 
       2.187437432375e-03       1.903342063006e+07       1.903341972205e+07       1.903102837005e+07       3.251815586140e+04       3.381858485299e+04       0.000000000000e+00       1.902734102247e+07 
       2.290903699119e-03       1.898501373865e+07       1.898501290404e+07       1.898256836106e+07       3.963206068679e+04       3.940240826058e+04       0.000000000000e+00       1.897894147308e+07 
       2.395914188032e-03       1.893540308844e+07       1.893540231934e+07       1.893289686104e+07       3.493888318162e+04       3.214242323821e+04       0.000000000000e+00       1.892933354386e+07 
       2.502336604421e-03       1.888467933798e+07       1.888467862749e+07       1.888210635102e+07       1.953939088465e+04       1.468192521556e+04       0.000000000000e+00       1.887860869584e+07 
       2.610049367626e-03       1.883293046944e+07       1.883292981150e+07       1.883028680315e+07       5.436333887411e+03      -3.065393877985e+02       0.000000000000e+00       1.882685888940e+07 
       2.718941253678e-03       1.878023908676e+07       1.878023847606e+07       1.877752257097e+07       2.217351682080e+03      -3.650914856780e+03       0.000000000000e+00       1.877416981409e+07 
       2.828910872076e-03       1.872668417833e+07       1.872668361019e+07       1.872389400443e+07       7.922606751837e+03       2.002535514198e+03       0.000000000000e+00       1.872061999999e+07 
       2.939866041956e-03       1.867234037350e+07       1.867233984382e+07       1.866947659315e+07       1.237491067499e+04       6.423370839600e+03       0.000000000000e+00       1.866628115897e+07 
       3.051723117132e-03       1.861727666660e+07       1.861727617174e+07       1.861433955205e+07       8.283288479779e+03       2.945983001121e+03       0.000000000000e+00       1.861122020379e+07 
       3.164406296083e-03       1.856155902511e+07       1.856155856186e+07       1.855854861025e+07      -1.853426320004e+03      -4.414952206517e+02       0.000000000000e+00       1.855550445682e+07 
       3.277846942195e-03       1.850524743151e+07       1.850524699701e+07       1.850216299723e+07      -9.555538318567e+03       8.952574870114e+03       0.000000000000e+00       1.849919679771e+07 
       3.391982931079e-03       1.844839871800e+07       1.844839830973e+07       1.844523860969e+07      -9.772152996404e+03       2.590097094791e+04       0.000000000000e+00       1.844235413529e+07 
       3.506758035485e-03       1.839106540633e+07       1.839106502203e+07       1.838782692668e+07      -5.534040172810e+03       3.795040744179e+04       0.000000000000e+00       1.838502674385e+07 
       3.622121353578e-03       1.833329610218e+07       1.833329573983e+07       1.832997550167e+07      -3.590531223316e+03       3.900774130346e+04       0.000000000000e+00       1.832726110079e+07 
       3.738026783062e-03       1.827513556627e+07       1.827513522408e+07       1.827172844308e+07      -6.748046051138e+03       3.305690003305e+04       0.000000000000e+00       1.826910183270e+07 
