# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   41       1.340264154973e+03       6.597317570945e-02       0.000000000000e+00       1.715540007382e+00       1.428205839600e-07       1.048099736507e-03      -7.478632571185e-07 
   42       1.360568158251e+03       7.148068832566e-02       0.000000000000e+00       1.625792467068e+00       1.424475503716e-07       1.024878965146e-03      -7.845184126520e-07 
   43       1.381075289444e+03       7.727494778055e-02       0.000000000000e+00       1.524603377950e+00       1.420547125405e-07       1.002226311380e-03      -8.624604317391e-07 
   44       1.401808341090e+03       8.336293025312e-02       0.000000000000e+00       1.411671404927e+00       1.416345668247e-07       9.803328756946e-04      -9.533877961539e-07 
   45       1.422773712468e+03       8.975090525925e-02       0.000000000000e+00       1.286683873406e+00       1.411585193885e-07       9.592791941769e-04      -1.027595227527e-06 
   46       1.443986402074e+03       9.644194843591e-02       0.000000000000e+00       1.149306325433e+00       1.406515032071e-07       9.391903289948e-04      -1.081106240158e-06 
   47       1.465448410088e+03       1.034376928079e-01       0.000000000000e+00       9.991871696795e-01       1.401425927427e-07       9.200985412875e-04      -1.118735352824e-06 
   48       1.487139350318e+03       1.107389693094e-01       0.000000000000e+00       8.359583759069e-01       1.396399573786e-07       9.018718903897e-04      -1.147348629927e-06 
   49       1.509014523472e+03       1.183457685170e-01       0.000000000000e+00       6.592337521609e-01       1.391245209005e-07       8.841875396944e-04      -1.176108977839e-06 
   50       1.531025742467e+03       1.262578560763e-01       0.000000000000e+00       4.686529027142e-01       1.385623586177e-07       8.666569913830e-04      -1.214406751184e-06 
   51       1.553194942437e+03       1.344769046972e-01       0.000000000000e+00       2.640311653379e-01       1.379679221457e-07       8.493308245873e-04      -1.264022965322e-06 
   52       1.575557220873e+03       1.430048747175e-01       0.000000000000e+00       4.524739483595e-02       1.373619942170e-07       8.323481100689e-04      -1.324259596655e-06 
   53       1.598138996189e+03       1.518434036622e-01       0.000000000000e+00      -1.877977438467e-01       1.367517903299e-07       8.157910649334e-04      -1.393946369304e-06 
   54       1.620957151683e+03       1.609937987386e-01       0.000000000000e+00      -4.351813487455e-01       1.361272370956e-07       7.996749926120e-04      -1.471385364226e-06 
   55       1.644021400102e+03       1.704568923315e-01       0.000000000000e+00      -6.969631025137e-01       1.354696251338e-07       7.839801617618e-04      -1.554453950173e-06 
   56       1.667344026306e+03       1.802325836431e-01       0.000000000000e+00      -9.732021179344e-01       1.347929165545e-07       7.687867302601e-04      -1.641097347906e-06 
   57       1.690931065474e+03       1.903201700416e-01       0.000000000000e+00      -1.263943529484e+00       1.341152401867e-07       7.541709095680e-04      -1.728916959491e-06 
   58       1.714778579896e+03       2.007184615212e-01       0.000000000000e+00      -1.569213393913e+00       1.334458005592e-07       7.401600927747e-04      -1.814981464992e-06 
   59       1.738871928413e+03       2.114257678596e-01       0.000000000000e+00      -1.889018467850e+00       1.327825894343e-07       7.267256766373e-04      -1.895780172269e-06 
   60       1.763185035860e+03       2.224398857757e-01       0.000000000000e+00      -2.223345985416e+00       1.321098884866e-07       7.137755754426e-04      -1.967174766379e-06 
   61       1.787691474740e+03       2.337578543715e-01       0.000000000000e+00      -2.572162444974e+00       1.314066279829e-07       7.011964209139e-04      -2.025272343434e-06 
   62       1.812402269672e+03       2.453751863663e-01       0.000000000000e+00      -2.935410154256e+00       1.306825698722e-07       6.890152725995e-04      -2.069508676188e-06 
   63       1.837335320783e+03       2.572864407301e-01       0.000000000000e+00      -3.313009511590e+00       1.299532347982e-07       6.772781037832e-04      -2.100507292350e-06 
   64       1.862503991542e+03       2.694854193774e-01       0.000000000000e+00      -3.704859679519e+00       1.292290435868e-07       6.660007230658e-04      -2.119279791612e-06 
   65       1.887916752991e+03       2.819651469724e-01       0.000000000000e+00      -4.110838330979e+00       1.285140567041e-07       6.551648158619e-04      -2.127263157151e-06 
   66       1.913576827986e+03       2.947178507340e-01       0.000000000000e+00      -4.530801395464e+00       1.278046078004e-07       6.447138324822e-04      -2.126358323654e-06 
   67       1.939481835422e+03       3.077349402414e-01       0.000000000000e+00      -4.964582805197e+00       1.270878279691e-07       6.345487228030e-04      -2.118970001872e-06 
   68       1.965627908035e+03       3.210077018412e-01       0.000000000000e+00      -5.411999158063e+00       1.263480277760e-07       6.245635851387e-04      -2.107555939144e-06 
