# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 288.436 h/Mpc,
# number of wavenumbers equal to 1038
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_b/k2                5:-T_g/k2                6:-T_ur/k2               7:-T_ncdm/k2             8:-T_tot/k2          
       1.467966716871e+01       1.092560542498e+01       1.091568860998e+01       7.766836779201e+00       2.978066463557e-07       2.973086278912e-07       0.000000000000e+00       1.009686123975e+01 
       1.490674682906e+01       1.062302521773e+01       1.061305349031e+01       7.551436029546e+00       2.807931289030e-07       2.803235657224e-07       0.000000000000e+00       9.816917262034e+00 
       1.513733918296e+01       1.032860647623e+01       1.031857966899e+01       7.341843199925e+00       2.647456245072e-07       2.643029008408e-07       0.000000000000e+00       9.544522518423e+00 
       1.537149856824e+01       1.004213694824e+01       1.003205489490e+01       7.137908911107e+00       2.496096589181e-07       2.491922500920e-07       0.000000000000e+00       9.279480941872e+00 
       1.560928016328e+01       9.763397561717e+00       9.753260098086e+00       6.939475464152e+00       2.353335102613e-07       2.349399781395e-07       0.000000000000e+00       9.021589604604e+00 
       1.585074000001e+01       9.492182431502e+00       9.481989395016e+00       6.746396616230e+00       2.218685630808e-07       2.214975508411e-07       0.000000000000e+00       8.770658106997e+00 
       1.609593497713e+01       9.228292374219e+00       9.218043604099e+00       6.558531290249e+00       2.091689702164e-07       2.088191977155e-07       0.000000000000e+00       8.526502311997e+00 
       1.634492287349e+01       8.971530960579e+00       8.961226298076e+00       6.375739622221e+00       1.971914093118e-07       1.968616688721e-07       0.000000000000e+00       8.288940511117e+00 
       1.659776236174e+01       8.721703916964e+00       8.711343205669e+00       6.197882510939e+00       1.858949365784e-07       1.855840890171e-07       0.000000000000e+00       8.057792867052e+00 
       1.685451302212e+01       8.478628335025e+00       8.468211420573e+00       6.024830583983e+00       1.752410554784e-07       1.749480259957e-07       0.000000000000e+00       7.832890317002e+00 
       1.711523535653e+01       8.242121772327e+00       8.231648502945e+00       5.856453679710e+00       1.651933470270e-07       1.649171217434e-07       0.000000000000e+00       7.614064050735e+00 
       1.737999080275e+01       8.012010126415e+00       8.001480352704e+00       5.692628500651e+00       1.557175196774e-07       1.554571420655e-07       0.000000000000e+00       7.401153120619e+00 
       1.764884174896e+01       7.788118938238e+00       7.777532513782e+00       5.533230121823e+00       1.467811186187e-07       1.465356864450e-07       0.000000000000e+00       7.193996030447e+00 
       1.792185154843e+01       7.570281189224e+00       7.559637970502e+00       5.378139709255e+00       1.383535788456e-07       1.381222410010e-07       0.000000000000e+00       6.992438293447e+00 
       1.819908453442e+01       7.358335840286e+00       7.347635686762e+00       5.227243150398e+00       1.304060893763e-07       1.301880429378e-07       0.000000000000e+00       6.796331028355e+00 
       1.848060603537e+01       7.152124828323e+00       7.141367602734e+00       5.080428030939e+00       1.229114412526e-07       1.227059288081e-07       0.000000000000e+00       6.605528039982e+00 
       1.876648239029e+01       6.951491746991e+00       6.940677315709e+00       4.937582453793e+00       1.158439192386e-07       1.156502263940e-07       0.000000000000e+00       6.419884560337e+00 
       1.905678096438e+01       6.756286956734e+00       6.745415189844e+00       4.798600066755e+00       1.091793075694e-07       1.089967604336e-07       0.000000000000e+00       6.239262197183e+00 
       1.935157016492e+01       6.566365822289e+00       6.555436593604e+00       4.663378349943e+00       1.028947748110e-07       1.027227376786e-07       0.000000000000e+00       6.063527230541e+00 
       1.965091945737e+01       6.381585688215e+00       6.370598875771e+00       4.531815698771e+00       9.696874921516e-08       9.680662246337e-08       0.000000000000e+00       5.892547693408e+00 
       1.995489938176e+01       6.201805542037e+00       6.190761028473e+00       4.403811072537e+00       9.138084699585e-08       9.122806510214e-08       0.000000000000e+00       5.726193042244e+00 
       2.026358156930e+01       6.026894746752e+00       6.015792419042e+00       4.279272671611e+00       8.611193683886e-08       8.596796627150e-08       0.000000000000e+00       5.564342627048e+00 
       2.057703875926e+01       5.856718238734e+00       5.845557988990e+00       4.158103305188e+00       8.114385255376e-08       8.100819017461e-08       0.000000000000e+00       5.406871346222e+00 
       2.089534481612e+01       5.691150261139e+00       5.679931986568e+00       4.040214062189e+00       7.645953866954e-08       7.633170986371e-08       0.000000000000e+00       5.253662971295e+00 
       2.121857474697e+01       5.530066330675e+00       5.518789933982e+00       3.925516333976e+00       7.204287474466e-08       7.192243186107e-08       0.000000000000e+00       5.104602355808e+00 
       2.154680471917e+01       5.373343592326e+00       5.362008982203e+00       3.813922194297e+00       6.787863107370e-08       6.776515193824e-08       0.000000000000e+00       4.959575783838e+00 
       2.188011207833e+01       5.220867561839e+00       5.209474652730e+00       3.705351101217e+00       6.395250566471e-08       6.384559201906e-08       0.000000000000e+00       4.818477510033e+00 
       2.221857536650e+01       5.072520430230e+00       5.061069143356e+00       3.599718356034e+00       6.025092531843e-08       6.015020161270e-08       0.000000000000e+00       4.681198428722e+00 
       2.256227434072e+01       4.928191957620e+00       4.916682220865e+00       3.496945923244e+00       5.676114076022e-08       5.666625276660e-08       0.000000000000e+00       4.547636639326e+00 
       2.291128999177e+01       4.787773068058e+00       4.776204816606e+00       3.396956059573e+00       5.347110304787e-08       5.338171669254e-08       0.000000000000e+00       4.417691232876e+00 
       2.326570456328e+01       4.651157543555e+00       4.639530720183e+00       3.299673074530e+00       5.036944561194e-08       5.028524583352e-08       0.000000000000e+00       4.291263947291e+00 
       2.362560157112e+01       4.518243719133e+00       4.506558274455e+00       3.205024972098e+00       4.744546466639e-08       4.736615430479e-08       0.000000000000e+00       4.168260804745e+00 
       2.399106582305e+01       4.388930661053e+00       4.377186554204e+00       3.112939736803e+00       4.468904116568e-08       4.461433998706e-08       0.000000000000e+00       4.048588418223e+00 
       2.436218343873e+01       4.263120279930e+00       4.251317479039e+00       3.023347425289e+00       4.209063175963e-08       4.202027549314e-08       0.000000000000e+00       3.932156039785e+00 
       2.473904187000e+01       4.140718930402e+00       4.128857412686e+00       2.936181741324e+00       3.964125236455e-08       3.957499176434e-08       0.000000000000e+00       3.818877109631e+00 
       2.512172992149e+01       4.021632579900e+00       4.009712332722e+00       2.851375336118e+00       3.733239983288e-08       3.726999987758e-08       0.000000000000e+00       3.708664586664e+00 
       2.551033777155e+01       3.905772765616e+00       3.893793786571e+00       2.768865668685e+00       3.515608264934e-08       3.509732168214e-08       0.000000000000e+00       3.601436716607e+00 
       2.590495699350e+01       3.793051009920e+00       3.781013307492e+00       2.688589515080e+00       3.310474018708e-08       3.304940919821e-08       0.000000000000e+00       3.497111624706e+00 
       2.630568057721e+01       3.683383026435e+00       3.671286620601e+00       2.610487145138e+00       3.117125725132e-08       3.111915913065e-08       0.000000000000e+00       3.395611395185e+00 
       2.671260295101e+01       3.576684717390e+00       3.564529640251e+00       2.534498383457e+00       2.934890438973e-08       2.929985328412e-08       0.000000000000e+00       3.296858194775e+00 
       2.712582000393e+01       3.472876587637e+00       3.460662883970e+00       2.460566998144e+00       2.763135405405e-08       2.758517469220e-08       0.000000000000e+00       3.200778554709e+00 
       2.754542910831e+01       3.371879334336e+00       3.359607062294e+00       2.388636339832e+00       2.601262176655e-08       2.596914888754e-08       0.000000000000e+00       3.107299096218e+00 
       2.797152914275e+01       3.273617421470e+00       3.261286653109e+00       2.318652900451e+00       2.448707590938e-08       2.444615367059e-08       0.000000000000e+00       3.016349998795e+00 
       2.840422051540e+01       3.178015267451e+00       3.165626089937e+00       2.250562553423e+00       2.304938874934e-08       2.301087022041e-08       0.000000000000e+00       2.927861307241e+00 
       2.884360518762e+01       3.085001585055e+00       3.072554100414e+00       2.184314891942e+00       2.169455225039e-08       2.165829887596e-08       0.000000000000e+00       2.841767144368e+00 
       2.928978669801e+01       2.994505789561e+00       2.982000116618e+00       2.119859631058e+00       2.041783376023e-08       2.038371490080e-08       0.000000000000e+00       2.758002224050e+00 
       2.974287018681e+01       2.906459200573e+00       2.893895475142e+00       2.057147868816e+00       1.921476971943e-08       1.918266220110e-08       0.000000000000e+00       2.676503026259e+00 
       3.020296242067e+01       2.820795224018e+00       2.808173599819e+00       1.996132235237e+00       1.808115191796e-08       1.805093960520e-08       0.000000000000e+00       2.597207969109e+00 
       3.067017181781e+01       2.737448832185e+00       2.724769481973e+00       1.936766423989e+00       1.701300990261e-08       1.698458330070e-08       0.000000000000e+00       2.520056912379e+00 
       3.114460847358e+01       2.656356796848e+00       2.643619912754e+00       1.879005420294e+00       1.600659936000e-08       1.597985523678e-08       0.000000000000e+00       2.444991382403e+00 
       3.162638418639e+01       2.577458646903e+00       2.564664441820e+00       1.822806460453e+00       1.505839526760e-08       1.503323628577e-08       0.000000000000e+00       2.371955503107e+00 
       3.211561248406e+01       2.500693774507e+00       2.487842483500e+00       1.768126190821e+00       1.416506238629e-08       1.414139678750e-08       0.000000000000e+00       2.300893194462e+00 
       3.261240865056e+01       2.426004089311e+00       2.413095969860e+00       1.714923297114e+00       1.332346062746e-08       1.330120190515e-08       0.000000000000e+00       2.231750744876e+00 
       3.311688975320e+01       2.353333846561e+00       2.340369180086e+00       1.663158346965e+00       1.253063280237e-08       1.250969939523e-08       0.000000000000e+00       2.164476647616e+00 
       3.362917467019e+01       2.282627222521e+00       2.269606315685e+00       1.612791412165e+00       1.178378127927e-08       1.176409630561e-08       0.000000000000e+00       2.099019253795e+00 
       3.414938411870e+01       2.213830925155e+00       2.200754110819e+00       1.563784648923e+00       1.108027330734e-08       1.106176428856e-08       0.000000000000e+00       2.035329302255e+00 
       3.467764068323e+01       2.146893100045e+00       2.133760738442e+00       1.516101227852e+00       1.041762591769e-08       1.040022452771e-08       0.000000000000e+00       1.973358861209e+00 
       3.521406884455e+01       2.081762955044e+00       2.068575435388e+00       1.469704992580e+00       9.793495820203e-09       9.777137652133e-09       0.000000000000e+00       1.913060969545e+00 
       3.575879500905e+01       2.018391557816e+00       2.005149299187e+00       1.424561224498e+00       9.205675521411e-09       9.190299860107e-09       0.000000000000e+00       1.854390405434e+00 
       3.631194753846e+01       1.956730423393e+00       1.943433876702e+00       1.380635288174e+00       8.652079189300e-09       8.637628808432e-09       0.000000000000e+00       1.797302324927e+00 
       3.687365678016e+01       1.896733553762e+00       1.883383202756e+00       1.337894642628e+00       8.130745227899e-09       8.117166181408e-09       0.000000000000e+00       1.741754237137e+00 
       3.744405509787e+01       1.838355567135e+00       1.824951930258e+00       1.296307000322e+00       7.639820917486e-09       7.627062357918e-09       0.000000000000e+00       1.687704193163e+00 
