      k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
 2.13248058e-05  2.42505094e+05  2.42505057e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847646e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389634e+05  2.41389624e+05  0.00000000e+00
 2.19475014e-05  2.42505077e+05  2.42505037e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847617e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389613e+05  2.41389602e+05  0.00000000e+00
 2.25883800e-05  2.42505059e+05  2.42505017e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847587e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389594e+05  2.41389583e+05  0.00000000e+00
 2.32479726e-05  2.42505040e+05  2.42504995e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847555e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389574e+05  2.41389562e+05  0.00000000e+00
 2.39268256e-05  2.42505019e+05  2.42504972e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847520e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389559e+05  2.41389546e+05  0.00000000e+00
 2.46255015e-05  2.42504998e+05  2.42504948e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847484e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389536e+05  2.41389522e+05  0.00000000e+00
 2.53445792e-05  2.42504975e+05  2.42504922e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847446e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389507e+05  2.41389493e+05  0.00000000e+00
 2.60846542e-05  2.42504951e+05  2.42504895e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847405e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389482e+05  2.41389467e+05  0.00000000e+00
 2.68463399e-05  2.42504925e+05  2.42504866e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847362e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389456e+05  2.41389440e+05  0.00000000e+00
 2.76302672e-05  2.42504898e+05  2.42504835e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847316e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389429e+05  2.41389412e+05  0.00000000e+00
 2.84370855e-05  2.42504869e+05  2.42504802e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847268e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389403e+05  2.41389385e+05  0.00000000e+00
 2.92674634e-05  2.42504839e+05  2.42504768e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847217e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389371e+05  2.41389352e+05  0.00000000e+00
 3.01220888e-05  2.42504807e+05  2.42504731e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847163e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389332e+05  2.41389312e+05  0.00000000e+00
 3.10016697e-05  2.42504772e+05  2.42504693e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847105e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389299e+05  2.41389278e+05  0.00000000e+00
 3.19069348e-05  2.42504736e+05  2.42504652e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847044e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389261e+05  2.41389238e+05  0.00000000e+00
 3.28386341e-05  2.42504698e+05  2.42504609e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846980e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389222e+05  2.41389199e+05  0.00000000e+00
 3.37975395e-05  2.42504657e+05  2.42504563e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846912e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389180e+05  2.41389155e+05  0.00000000e+00
 3.47844455e-05  2.42504614e+05  2.42504514e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846839e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389136e+05  2.41389110e+05  0.00000000e+00
 3.58001696e-05  2.42504569e+05  2.42504463e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846763e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389089e+05  2.41389061e+05  0.00000000e+00
 3.68455535e-05  2.42504520e+05  2.42504408e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846682e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389039e+05  2.41389009e+05  0.00000000e+00
 3.79214630e-05  2.42504469e+05  2.42504350e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846596e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388986e+05  2.41388955e+05  0.00000000e+00
 3.90287898e-05  2.42504415e+05  2.42504289e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846505e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388930e+05  2.41388897e+05  0.00000000e+00
 4.01684510e-05  2.42504358e+05  2.42504224e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846408e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388871e+05  2.41388836e+05  0.00000000e+00
 4.13413909e-05  2.42504297e+05  2.42504155e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846306e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388808e+05  2.41388771e+05  0.00000000e+00
 4.25485814e-05  2.42504233e+05  2.42504083e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846198e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388742e+05  2.41388702e+05  0.00000000e+00
 4.37910224e-05  2.42504164e+05  2.42504006e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44846083e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388671e+05  2.41388630e+05  0.00000000e+00
 4.50697433e-05  2.42504092e+05  2.42503924e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44845962e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388597e+05  2.41388553e+05  0.00000000e+00
 4.63858036e-05  2.42504016e+05  2.42503837e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44845834e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388518e+05  2.41388471e+05  0.00000000e+00
 4.77402935e-05  2.42503935e+05  2.42503746e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44845697e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41388430e+05  2.41388380e+05  0.00000000e+00
