      k/h             CDM           baryon          photon            nu            mass_nu          total           no_nu         total_de          Weyl            v_CDM            v_b           v_b-v_c    
 1.50389812e-05  2.42505240e+05  2.42505221e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847890e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389784e+05  2.41389779e+05  0.00000000e+00
 1.52716191e-05  2.42505235e+05  2.42505216e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847883e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389779e+05  2.41389774e+05  0.00000000e+00
 1.55078557e-05  2.42505231e+05  2.42505211e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847875e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389774e+05  2.41389769e+05  0.00000000e+00
 1.57477466e-05  2.42505226e+05  2.42505205e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847867e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389769e+05  2.41389764e+05  0.00000000e+00
 1.59913484e-05  2.42505221e+05  2.42505200e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847859e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389764e+05  2.41389758e+05  0.00000000e+00
 1.62387184e-05  2.42505216e+05  2.42505194e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847850e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389759e+05  2.41389753e+05  0.00000000e+00
 1.64899150e-05  2.42505211e+05  2.42505188e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847842e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389754e+05  2.41389747e+05  0.00000000e+00
 1.67449974e-05  2.42505205e+05  2.42505182e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847832e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389748e+05  2.41389742e+05  0.00000000e+00
 1.70040256e-05  2.42505200e+05  2.42505176e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847823e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389742e+05  2.41389736e+05  0.00000000e+00
 1.72670608e-05  2.42505194e+05  2.42505169e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847814e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389736e+05  2.41389730e+05  0.00000000e+00
 1.75341648e-05  2.42505188e+05  2.42505163e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847804e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389730e+05  2.41389723e+05  0.00000000e+00
 1.78054007e-05  2.42505182e+05  2.42505156e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847793e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389724e+05  2.41389717e+05  0.00000000e+00
 1.80808323e-05  2.42505176e+05  2.42505149e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847783e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389718e+05  2.41389710e+05  0.00000000e+00
 1.83605245e-05  2.42505169e+05  2.42505141e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847772e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389711e+05  2.41389703e+05  0.00000000e+00
 1.86445434e-05  2.42505162e+05  2.42505134e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847761e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389704e+05  2.41389696e+05  0.00000000e+00
 1.89329557e-05  2.42505156e+05  2.42505126e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847749e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389697e+05  2.41389689e+05  0.00000000e+00
 1.92258294e-05  2.42505148e+05  2.42505118e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847737e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389689e+05  2.41389681e+05  0.00000000e+00
 1.95232336e-05  2.42505141e+05  2.42505110e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847725e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389682e+05  2.41389673e+05  0.00000000e+00
 1.98252384e-05  2.42505134e+05  2.42505101e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847712e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389674e+05  2.41389665e+05  0.00000000e+00
 2.01319148e-05  2.42505126e+05  2.42505092e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847699e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389666e+05  2.41389657e+05  0.00000000e+00
 2.04433353e-05  2.42505118e+05  2.42505083e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847686e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389658e+05  2.41389649e+05  0.00000000e+00
 2.07595731e-05  2.42505109e+05  2.42505074e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847672e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389650e+05  2.41389640e+05  0.00000000e+00
 2.10807027e-05  2.42505101e+05  2.42505064e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847657e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389641e+05  2.41389631e+05  0.00000000e+00
 2.14068000e-05  2.42505092e+05  2.42505054e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847642e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389632e+05  2.41389622e+05  0.00000000e+00
 2.17379416e-05  2.42505083e+05  2.42505044e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847627e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389625e+05  2.41389614e+05  0.00000000e+00
 2.20742057e-05  2.42505074e+05  2.42505033e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847611e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389609e+05  2.41389599e+05  0.00000000e+00
 2.24156714e-05  2.42505064e+05  2.42505022e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847595e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389600e+05  2.41389588e+05  0.00000000e+00
 2.27624192e-05  2.42505054e+05  2.42505011e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847579e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389589e+05  2.41389578e+05  0.00000000e+00
 2.31145309e-05  2.42505044e+05  2.42505000e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.44847561e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.41389578e+05  2.41389567e+05  0.00000000e+00
