# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.00899e-05 to 1430.41 h/Mpc,
# number of wavenumbers equal to 1499
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_dmeff/k2            4:-T_idm_dr/k2           5:-T_b/k2                6:-T_g/k2                7:-T_ur/k2               8:-T_idr/k2              9:-T_ncdm/k2            10:-T_tot/k2          
       1.330102492428e-05       2.425052539587e+05       0.000000000000e+00       0.000000000000e+00       2.425052393407e+05       3.233379367783e+05       3.233376539138e+05       0.000000000000e+00       0.000000000000e+00       2.448479259739e+05 
       1.345504353400e-05       2.425052518323e+05       0.000000000000e+00       0.000000000000e+00       2.425052368740e+05       3.233378779963e+05       3.233375885441e+05       0.000000000000e+00       0.000000000000e+00       2.448479220726e+05 
       1.361084559517e-05       2.425052494846e+05       0.000000000000e+00       0.000000000000e+00       2.425052341778e+05       3.233378176172e+05       3.233375214228e+05       0.000000000000e+00       0.000000000000e+00       2.448479179071e+05 
       1.376845175917e-05       2.425052472218e+05       0.000000000000e+00       0.000000000000e+00       2.425052315585e+05       3.233377560179e+05       3.233374529243e+05       0.000000000000e+00       0.000000000000e+00       2.448479137856e+05 
       1.392788291655e-05       2.425052450945e+05       0.000000000000e+00       0.000000000000e+00       2.425052290662e+05       3.233376932358e+05       3.233373830811e+05       0.000000000000e+00       0.000000000000e+00       2.448479097582e+05 
       1.408916019972e-05       2.425052425871e+05       0.000000000000e+00       0.000000000000e+00       2.425052261854e+05       3.233376285494e+05       3.233373111706e+05       0.000000000000e+00       0.000000000000e+00       2.448479053031e+05 
       1.425230498581e-05       2.425052399894e+05       0.000000000000e+00       0.000000000000e+00       2.425052232057e+05       3.233375623137e+05       3.233372375422e+05       0.000000000000e+00       0.000000000000e+00       2.448479007121e+05 
       1.441733889949e-05       2.425052372381e+05       0.000000000000e+00       0.000000000000e+00       2.425052200635e+05       3.233374944112e+05       3.233371620748e+05       0.000000000000e+00       0.000000000000e+00       2.448478959201e+05 
       1.458428381583e-05       2.425052344868e+05       0.000000000000e+00       0.000000000000e+00       2.425052169121e+05       3.233374250124e+05       3.233370849350e+05       0.000000000000e+00       0.000000000000e+00       2.448478910811e+05 
       1.475316186319e-05       2.425052316111e+05       0.000000000000e+00       0.000000000000e+00       2.425052136270e+05       3.233373539167e+05       3.233370059179e+05       0.000000000000e+00       0.000000000000e+00       2.448478860685e+05 
       1.492399542617e-05       2.425052286357e+05       0.000000000000e+00       0.000000000000e+00       2.425052102327e+05       3.233372811214e+05       3.233369250167e+05       0.000000000000e+00       0.000000000000e+00       2.448478809061e+05 
       1.509680714858e-05       2.425052256066e+05       0.000000000000e+00       0.000000000000e+00       2.425052067750e+05       3.233372066514e+05       3.233368422521e+05       0.000000000000e+00       0.000000000000e+00       2.448478756394e+05 
       1.527161993643e-05       2.425052226709e+05       0.000000000000e+00       0.000000000000e+00       2.425052034006e+05       3.233371306652e+05       3.233367577781e+05       0.000000000000e+00       0.000000000000e+00       2.448478704153e+05 
       1.544845696096e-05       2.425052194780e+05       0.000000000000e+00       0.000000000000e+00       2.425051997589e+05       3.233370526574e+05       3.233366710847e+05       0.000000000000e+00       0.000000000000e+00       2.448478648790e+05 
       1.562734166172e-05       2.425052160315e+05       0.000000000000e+00       0.000000000000e+00       2.425051958530e+05       3.233369725936e+05       3.233365821331e+05       0.000000000000e+00       0.000000000000e+00       2.448478590328e+05 
       1.580829774970e-05       2.425052125519e+05       0.000000000000e+00       0.000000000000e+00       2.425051919035e+05       3.233368907279e+05       3.233364911724e+05       0.000000000000e+00       0.000000000000e+00       2.448478530981e+05 
       1.599134921042e-05       2.425052274659e+05       0.000000000000e+00       0.000000000000e+00       2.425052063365e+05       3.233368315878e+05       3.233364227258e+05       0.000000000000e+00       0.000000000000e+00       2.448478656782e+05 
       1.617652030716e-05       2.425052237179e+05       0.000000000000e+00       0.000000000000e+00       2.425052020963e+05       3.233367457246e+05       3.233363273391e+05       0.000000000000e+00       0.000000000000e+00       2.448478593583e+05 
       1.636383558414e-05       2.425052198863e+05       0.000000000000e+00       0.000000000000e+00       2.425051977611e+05       3.233366578663e+05       3.233362297356e+05       0.000000000000e+00       0.000000000000e+00       2.448478528950e+05 
       1.655331986980e-05       2.425052149561e+05       0.000000000000e+00       0.000000000000e+00       2.425051923158e+05       3.233365666141e+05       3.233361285125e+05       0.000000000000e+00       0.000000000000e+00       2.448478452620e+05 
       1.674499828008e-05       2.425052097832e+05       0.000000000000e+00       0.000000000000e+00       2.425051866156e+05       3.233364730669e+05       3.233360247616e+05       0.000000000000e+00       0.000000000000e+00       2.448478373220e+05 
       1.693889622175e-05       2.425052069948e+05       0.000000000000e+00       0.000000000000e+00       2.425051832875e+05       3.233363806830e+05       3.233359219340e+05       0.000000000000e+00       0.000000000000e+00       2.448478317265e+05 
       1.713503939576e-05       2.425052004069e+05       0.000000000000e+00       0.000000000000e+00       2.425051761474e+05       3.233362811665e+05       3.233358117316e+05       0.000000000000e+00       0.000000000000e+00       2.448478222299e+05 
       1.733345380069e-05       2.425051961094e+05       0.000000000000e+00       0.000000000000e+00       2.425051712848e+05       3.233361825901e+05       3.233357022209e+05       0.000000000000e+00       0.000000000000e+00       2.448478149795e+05 
       1.753416573614e-05       2.425051934077e+05       0.000000000000e+00       0.000000000000e+00       2.425051680053e+05       3.233360839765e+05       3.233355924205e+05       0.000000000000e+00       0.000000000000e+00       2.448478092726e+05 
       1.773720180626e-05       2.425051889364e+05       0.000000000000e+00       0.000000000000e+00       2.425051629423e+05       3.233359807927e+05       3.233354777872e+05       0.000000000000e+00       0.000000000000e+00       2.448478017096e+05 
       1.794258892328e-05       2.425051843820e+05       0.000000000000e+00       0.000000000000e+00       2.425051577824e+05       3.233358752336e+05       3.233353605118e+05       0.000000000000e+00       0.000000000000e+00       2.448477939916e+05 
       1.815035431102e-05       2.425051798084e+05       0.000000000000e+00       0.000000000000e+00       2.425051525891e+05       3.233357673315e+05       3.233352406204e+05       0.000000000000e+00       0.000000000000e+00       2.448477861816e+05 
       1.836052550857e-05       2.425051751080e+05       0.000000000000e+00       0.000000000000e+00       2.425051472547e+05       3.233356568891e+05       3.233351179096e+05       0.000000000000e+00       0.000000000000e+00       2.448477781692e+05 
       1.857313037388e-05       2.425051702119e+05       0.000000000000e+00       0.000000000000e+00       2.425051417099e+05       3.233355437593e+05       3.233349922256e+05       0.000000000000e+00       0.000000000000e+00       2.448477698832e+05 
       1.878819708751e-05       2.425051653114e+05       0.000000000000e+00       0.000000000000e+00       2.425051361454e+05       3.233354281406e+05       3.233348637603e+05       0.000000000000e+00       0.000000000000e+00       2.448477615149e+05 
       1.900575415631e-05       2.425051601679e+05       0.000000000000e+00       0.000000000000e+00       2.425051303226e+05       3.233353096570e+05       3.233347321309e+05       0.000000000000e+00       0.000000000000e+00       2.448477528215e+05 
       1.922583041724e-05       2.425051549567e+05       0.000000000000e+00       0.000000000000e+00       2.425051244162e+05       3.233351884830e+05       3.233345975049e+05       0.000000000000e+00       0.000000000000e+00       2.448477439783e+05 
       1.944845504116e-05       2.425051495850e+05       0.000000000000e+00       0.000000000000e+00       2.425051183331e+05       3.233350644345e+05       3.233344596907e+05       0.000000000000e+00       0.000000000000e+00       2.448477348895e+05 
